Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,latitude,longitude,lat_estimated,lon_estimated,status,NMEA timestamp,DirectionGains,LateralPositionGains,distance_travelled,x_ref,y_ref,heading_ref,lateral_error,heading_error
18:02:04.737613,0.08110,0.08106,0.00000,1.50000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",-0.00066,0.02632,0.02971,0.00000,0.00000,0.01053,0.00076,0.12200,-0.03995,1.03127,0.00001,0.03175,0.00000,-0.01531,0.00000,0.00000,0.00000,0.01516,0.00000,0.00000,0.00000,0.00000,57.78143,12.77352,57.78143100,12.77351717,A,132750.00,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.761017,0.10456,0.00908,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00147,0.01619,0.03262,0.00000,0.00000,0.00855,-0.00871,0.09022,-0.04618,0.99387,0.09891,0.02198,0.00000,-0.01442,-0.00501,0.00000,0.00000,0.01516,0.00000,0.00000,0.00000,0.00000,57.78143,12.77352,57.78143100,12.77351717,A,132750.00,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.14312,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.767541,0.11109,0.00508,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00087,0.01576,0.02803,0.00000,0.00000,0.01282,-0.01467,0.12407,-0.02562,1.00101,0.10537,0.02198,0.00000,-0.01364,-0.00447,0.00000,0.00000,0.01516,0.00000,0.00000,0.00000,0.00000,57.78143,12.77352,57.78143100,12.77351717,A,132750.00,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.14312,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.829707,0.17322,0.05680,0.00000,1.50000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00066,0.01537,0.03032,0.00000,0.00000,0.00168,-0.01299,0.13328,-0.00939,0.99717,0.11603,0.03175,0.00000,-0.01293,-0.00399,0.00000,0.00000,0.13309,-0.02964,0.03706,2.24537,2.24537,57.78143,12.77352,57.78143100,12.77351717,A,132750.10,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.14312,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.852682,0.19622,0.00806,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00334,0.01189,0.05002,0.00000,0.00000,0.00061,-0.00688,0.10669,-0.03855,0.98472,0.18994,0.03175,0.00000,0.32478,0.33169,-0.00148,0.00185,0.13309,-0.02964,0.03706,2.24537,2.24537,57.78143,12.77352,57.78143102,12.77351714,A,132750.10,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.25071,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.860218,0.20377,0.00511,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00292,0.01138,0.05338,0.00000,0.00000,0.00534,-0.00779,0.10175,-0.02879,0.99247,0.19827,0.03419,0.00000,0.61187,0.61849,-0.00289,0.00361,0.13309,-0.02964,0.03706,2.24537,2.24537,57.78143,12.77352,57.78143103,12.77351712,A,132750.10,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.25071,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.870825,0.21438,0.00517,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00227,0.01095,0.05262,0.00000,0.00000,0.00336,-0.01009,0.14707,-0.05106,0.98887,0.20862,0.02442,0.00000,0.85594,0.86231,-0.00423,0.00529,0.13309,-0.02964,0.03706,2.24537,2.24537,57.78143,12.77352,57.78143105,12.77351710,A,132750.10,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.25071,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.881404,0.22470,0.00509,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00209,0.01073,0.04850,0.00000,0.00000,-0.00871,-0.01100,0.14555,-0.01915,0.98448,0.21923,0.03175,0.00000,1.06342,1.06966,-0.00550,0.00688,0.13309,-0.02964,0.03706,2.24537,2.24537,57.78143,12.77352,57.78143106,12.77351707,A,132750.10,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.25071,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.941478,0.28501,0.05499,0.00000,1.50000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00153,0.01056,0.05277,0.00000,0.00000,-0.01298,-0.01925,0.13524,-0.04532,0.98698,0.22942,0.02930,0.00000,1.23979,1.24593,-0.00671,0.00838,0.24629,-0.04940,0.09266,1.91230,1.91230,57.78143,12.77352,57.78143108,12.77351705,A,132750.20,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.25071,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.962143,0.30569,0.00670,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00503,0.00767,0.05842,0.00000,0.00000,-0.00275,-0.00718,0.10919,-0.00964,0.98667,0.29973,0.03907,0.00000,1.34000,1.34446,-0.00884,0.01260,0.24629,-0.04940,0.09266,1.91230,1.91230,57.78143,12.77352,57.78143111,12.77351702,A,132750.20,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.35083,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.970908,0.31446,0.00520,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00491,0.00761,0.05552,0.00000,0.00000,-0.00642,-0.00841,0.10962,-0.01104,1.00497,0.30870,0.02686,0.00000,1.42518,1.42961,-0.01087,0.01660,0.24629,-0.04940,0.09266,1.91230,1.91230,57.78143,12.77352,57.78143115,12.77351698,A,132750.20,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.35083,0.00000,0.00000,0.00000,0.00000,0.00000
18:02:04.981466,0.32477,0.00511,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00487,0.00761,0.05277,0.00000,0.00000,-0.00611,-0.00581,0.10522,-0.01037,1.01290,0.31929,0.02686,0.00000,1.49759,1.50201,-0.01280,0.02040,0.24629,-0.04940,0.09266,1.91230,1.91230,57.78143,12.77352,57.78143118,12.77351695,A,132750.20,"[-0.20000,-0.00000,-0.00000]","[-0.10000,-0.00000,-0.00000]",0.35083,0.00000,0.00000,0.00000,0.00000,0.00000
