Description : v 3 step ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,latitude,longitude,lat_estimated,lon_estimated,status,NMEA timestamp
18:23:03.135515,0.05079,0.05075,0.00000,0.00000,[5.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00084,0.00552,0.03976,0.00000,0.00000,-0.00842,0.00410,0.05344,-0.05710,0.98765,0.00001,0.02198,0.00000,-0.00321,0.00000,0.00000,0.00000,0.01903,0.00000,0.00000,0.00000,0.00000,57.68782,11.98131,57.68781550,11.98131417,A,143322.70
18:23:03.164872,0.08017,0.01309,0.00000,0.00000,[5.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],0.00160,0.00552,0.04832,0.00000,0.00000,0.00303,0.00120,0.03861,-0.03379,1.00382,0.06947,0.01465,0.00000,-0.00321,0.00000,0.00000,0.00000,0.01903,0.00000,0.00000,0.00000,0.00000,57.68782,11.98131,57.68781550,11.98131417,A,143322.70
18:23:03.189676,0.10418,0.01173,0.00000,0.00000,[5.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],0.00170,0.00552,0.04572,0.00000,0.00000,-0.00063,0.00838,0.07668,-0.04429,0.96325,0.09577,0.01221,0.00000,-0.00321,0.00000,0.00000,0.00000,0.01903,0.00000,0.00000,0.00000,0.00000,57.68782,11.98131,57.68781550,11.98131417,A,143322.70
18:23:03.231218,0.14653,0.02705,0.00000,0.00000,[5.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],0.00193,0.00552,0.04205,0.00000,0.00000,-0.01346,0.00746,0.02672,-0.03141,1.00052,0.12212,0.00488,0.00000,0.23241,0.23562,0.00000,0.00093,0.14270,0.00000,0.01853,1.57080,1.57080,57.68782,11.98131,57.68781551,11.98131417,A,143322.80
18:23:03.258682,0.17396,0.01342,0.00000,0.00000,[5.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],0.00275,0.00552,0.04526,0.00000,0.00000,-0.00659,0.00823,0.03599,-0.04081,1.00089,0.16326,0.01221,0.00000,0.43269,0.43590,0.00000,0.00181,0.14270,0.00000,0.01853,1.57080,1.57080,57.68782,11.98131,57.68781552,11.98131417,A,143322.80
18:23:03.285948,0.20125,0.01266,0.41396,0.41396,[5.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],0.00312,0.00552,0.04068,0.00000,0.00000,-0.00125,0.01082,0.04319,-0.02251,0.96783,0.19142,0.01954,0.08279,0.60292,0.60613,0.00000,0.00264,0.14270,0.00000,0.01853,1.57080,1.57080,57.68782,11.98131,57.68781552,11.98131417,A,143322.80
18:23:03.308423,0.22373,0.01212,0.41396,0.41396,[5.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],0.00323,0.00552,0.04251,0.00000,0.00000,-0.00125,0.00349,0.05838,-0.02769,0.97380,0.21408,0.01954,0.14902,0.74763,0.75084,0.00122,0.00428,0.14270,0.00000,0.01853,1.57080,1.57080,57.68782,11.98131,57.68781554,11.98131419,A,143322.80
18:23:03.347421,0.26273,0.02589,0.41396,0.41396,[5.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],0.00309,0.00552,0.03717,0.00000,0.00000,-0.00858,0.00288,0.03312,-0.04398,1.00961,0.23966,0.01465,0.20201,0.89709,0.90030,0.00452,0.01137,0.25884,-0.00991,0.07413,1.74712,1.74712,57.68782,11.98131,57.68781560,11.98131424,A,143322.90
18:23:03.370656,0.28595,0.01104,0.41396,0.41396,[5.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],0.00370,0.00552,0.04160,0.00000,0.00000,-0.00537,0.00975,0.04813,-0.03263,0.98039,0.27672,0.01465,0.24440,1.02413,1.02734,0.00609,0.01740,0.25884,-0.00991,0.07413,1.74712,1.74712,57.68782,11.98131,57.68781566,11.98131427,A,143322.90
18:23:03.396260,0.31099,0.01195,0.41396,0.41396,[5.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],0.00385,0.00552,0.03839,0.00000,0.00000,-0.00796,0.01159,0.02367,-0.02489,1.00089,0.30189,0.01709,0.27831,1.13212,1.13533,0.00795,0.02464,0.25884,-0.00991,0.07413,1.74712,1.74712,57.68782,11.98131,57.68781572,11.98131430,A,143322.90
