Description : same previous interrupted v3 p3 ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,latitude,longitude,lat_estimated,lon_estimated,status,NMEA timestamp
18:31:55.898897,0.05814,0.05809,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00073,-0.03677,-0.03319,0.00000,0.00000,0.00450,-0.00233,0.03453,-0.00213,0.99643,0.00001,0.00977,0.00000,0.02138,0.00000,0.00000,0.00000,0.02629,0.00000,0.00000,0.00000,0.00000,57.68864,11.98063,57.68864450,11.98062950,A,144215.50
18:31:55.913882,0.07315,0.00683,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00350,-0.03790,-0.03945,0.00000,0.00000,0.00496,-0.00508,0.04154,0.00945,0.99290,0.06583,0.00977,0.00000,0.02148,-0.00056,0.00000,0.00000,0.02629,0.00000,0.00000,0.00000,0.00000,57.68864,11.98063,57.68864450,11.98062950,A,144215.50
18:31:55.924329,0.08359,0.00704,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00411,-0.03841,-0.03915,0.00000,0.00000,0.00862,-0.00508,0.04441,0.00689,0.99430,0.07620,0.00977,0.00000,0.02161,-0.00073,0.00000,0.00000,0.02629,0.00000,0.00000,0.00000,0.00000,57.68864,11.98063,57.68864450,11.98062950,A,144215.50
18:31:55.934722,0.09398,0.00701,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00470,-0.03897,-0.03503,0.00000,0.00000,0.00710,-0.00020,0.05112,0.00451,0.99613,0.08634,0.00733,0.00000,0.02177,-0.00090,0.00000,0.00000,0.02629,0.00000,0.00000,0.00000,0.00000,57.68864,11.98063,57.68864450,11.98062950,A,144215.50
18:31:55.949613,0.10888,0.01150,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00537,-0.03960,-0.03640,0.00000,0.00000,0.00251,0.00255,0.05362,0.00335,0.99656,0.09822,0.01709,0.00000,0.02196,-0.00107,0.00000,0.00000,0.02629,0.00000,0.00000,0.00000,0.00000,57.68864,11.98063,57.68864450,11.98062950,A,144215.50
18:31:55.967336,0.12660,0.00745,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00649,-0.04067,-0.03686,0.00000,0.00000,0.00206,-0.00050,0.05441,-0.00409,0.99375,0.11930,0.00733,0.00000,0.02221,-0.00144,0.00000,0.00000,0.02629,0.00000,0.00000,0.00000,0.00000,57.68864,11.98063,57.68864450,11.98062950,A,144215.50
18:31:55.993736,0.15300,0.02326,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00719,-0.04115,-0.03716,0.00000,0.00000,0.00435,0.00026,0.05557,-0.00183,0.99216,0.13031,0.01709,0.00000,0.02247,-0.00147,0.00000,0.00000,0.14942,0.00000,0.00000,0.00000,0.00000,57.68864,11.98063,57.68864450,11.98062950,A,144215.60
18:31:56.009467,0.16873,0.00685,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00846,-0.04189,-0.03426,0.00000,0.00000,0.00664,-0.00417,0.05685,0.00299,0.98844,0.16139,0.01465,0.00000,0.02276,-0.00161,0.00000,0.00000,0.14942,0.00000,0.00000,0.00000,0.00000,57.68864,11.98063,57.68864450,11.98062950,A,144215.60
18:31:56.020337,0.17960,0.00731,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00912,-0.04189,-0.03197,0.00000,0.00000,0.00282,-0.00310,0.05649,-0.00604,0.99174,0.17190,0.03175,0.00000,0.02300,-0.00137,0.00000,0.00000,0.14942,0.00000,0.00000,0.00000,0.00000,57.68864,11.98063,57.68864450,11.98062950,A,144215.60
18:31:56.030535,0.18941,0.00671,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00977,-0.04189,-0.02999,0.00000,0.00000,0.00251,-0.00233,0.05789,-0.00811,0.99326,0.18208,0.00733,0.00000,0.02320,-0.00116,0.00000,0.00000,0.14942,0.00000,0.00000,0.00000,0.00000,57.68864,11.98063,57.68864450,11.98062950,A,144215.60
