Description : previous intterupted agga3 p 3 ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,latitude,longitude,lat_estimated,lon_estimated,status,NMEA timestamp
18:33:52.299004,0.06143,0.06139,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00062,0.02052,-0.02365,0.00000,0.00000,0.00234,0.00086,0.05990,-0.00122,0.99686,0.00001,0.01709,0.00000,-0.01193,0.00000,0.00000,0.00000,0.02694,0.00000,0.00000,0.00000,0.00000,57.68865,11.98063,57.68864833,11.98063433,A,144411.90
18:33:52.315647,0.07810,0.00770,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00266,0.02686,-0.02212,0.00000,0.00000,0.00097,-0.00112,0.06374,-0.00945,0.99686,0.07053,0.01221,0.00000,-0.01249,0.00313,0.00000,0.00000,0.02694,0.00000,0.00000,0.00000,0.00000,57.68865,11.98063,57.68864833,11.98063433,A,144411.90
18:33:52.325371,0.08782,0.00684,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00330,0.02745,-0.01846,0.00000,0.00000,0.00112,-0.00143,0.06222,-0.00878,0.99778,0.08042,0.01221,0.00000,-0.01301,0.00296,0.00000,0.00000,0.02694,0.00000,0.00000,0.00000,0.00000,57.68865,11.98063,57.68864833,11.98063433,A,144411.90
18:33:52.336016,0.09847,0.00708,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00412,0.02802,-0.01342,0.00000,0.00000,0.00142,0.00025,0.05966,-0.02409,0.99906,0.09098,0.00977,0.00000,-0.01350,0.00279,0.00000,0.00000,0.02694,0.00000,0.00000,0.00000,0.00000,57.68865,11.98063,57.68864833,11.98063433,A,144411.90
18:33:52.346467,0.10866,0.00685,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00516,0.02853,-0.00517,0.00000,0.00000,0.00326,-0.00341,0.05581,-0.04508,0.99778,0.10116,0.01709,0.00000,-0.01396,0.00263,0.00000,0.00000,0.02694,0.00000,0.00000,0.00000,0.00000,57.68865,11.98063,57.68864833,11.98063433,A,144411.90
18:33:52.357033,0.11947,0.00726,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00644,0.02895,-0.01266,0.00000,0.00000,0.00066,-0.00051,0.05777,-0.05679,0.99107,0.11180,0.01221,0.00000,-0.01440,0.00244,0.00000,0.00000,0.02694,0.00000,0.00000,0.00000,0.00000,57.68865,11.98063,57.68864833,11.98063433,A,144411.90
18:33:52.382740,0.14518,0.02207,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00753,0.02926,-0.01327,0.00000,0.00000,-0.00041,-0.00311,0.05929,-0.04453,0.98698,0.12281,0.01465,0.00000,-0.01479,0.00223,0.00050,0.00000,0.14143,0.00991,0.00000,0.00000,0.00000,57.68865,11.98063,57.68864833,11.98063434,A,144412.00
18:33:52.398834,0.16128,0.00742,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00820,0.03003,-0.00502,0.00000,0.00000,-0.00423,-0.00005,0.05819,-0.01732,0.98832,0.15400,0.01709,0.00000,-0.01519,0.00227,0.00097,0.00000,0.14143,0.00991,0.00000,0.00000,0.00000,57.68865,11.98063,57.68864833,11.98063435,A,144412.00
18:33:52.408857,0.17131,0.00703,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00884,0.03051,-0.00212,0.00000,0.00000,-0.00209,0.00193,0.05496,-0.02477,0.99229,0.16388,0.01221,0.00000,-0.01557,0.00217,0.00141,0.00000,0.14143,0.00991,0.00000,0.00000,0.00000,57.68865,11.98063,57.68864833,11.98063436,A,144412.00
18:33:52.419256,0.18171,0.00716,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00961,0.03113,0.00094,0.00000,0.00000,-0.00209,0.00178,0.05819,-0.03581,0.99704,0.17417,0.01221,0.00000,-0.01595,0.00215,0.00184,0.00000,0.14143,0.00991,0.00000,0.00000,0.00000,57.68865,11.98063,57.68864833,11.98063436,A,144412.00
