Description : same again v3 p3 ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,latitude,longitude,lat_estimated,lon_estimated,status,NMEA timestamp
18:35:12.472923,0.04817,0.04813,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00073,-0.00968,0.02879,0.00000,0.00000,0.00710,-0.00681,0.07741,-0.04337,1.00235,0.00001,0.00977,0.00000,0.00563,0.00000,0.00000,0.00000,0.01642,0.00000,0.00000,0.00000,0.00000,57.68866,11.98067,57.68866200,11.98066650,A,144532.00
18:35:12.488896,0.06415,0.00801,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00025,-0.00968,0.03154,0.00000,0.00000,-0.00176,0.00800,0.08412,-0.05862,0.98308,0.05589,0.01221,0.00000,0.00563,0.00000,0.00000,0.00000,0.01642,0.00000,0.00000,0.00000,0.00000,57.68866,11.98067,57.68866200,11.98066650,A,144532.00
18:35:12.498446,0.07339,0.00684,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00127,-0.00968,0.03063,0.00000,0.00000,0.00359,0.00433,0.08540,-0.06313,0.98472,0.06593,0.00977,0.00000,0.00563,0.00000,0.00000,0.00000,0.01642,0.00000,0.00000,0.00000,0.00000,57.68866,11.98067,57.68866200,11.98066650,A,144532.00
18:35:12.509097,0.08436,0.00740,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00225,-0.00968,0.01978,0.00000,0.00000,0.00588,0.00067,0.09974,-0.05466,0.98448,0.07659,0.01221,0.00000,0.00563,0.00000,0.00000,0.00000,0.01642,0.00000,0.00000,0.00000,0.00000,57.68866,11.98067,57.68866200,11.98066650,A,144532.00
18:35:12.519113,0.09438,0.00701,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00299,-0.00968,0.01673,0.00000,0.00000,0.00466,-0.00055,0.10742,-0.03819,0.98600,0.08696,0.00977,0.00000,0.00563,0.00000,0.00000,0.00000,0.01642,0.00000,0.00000,0.00000,0.00000,57.68866,11.98067,57.68866200,11.98066650,A,144532.00
18:35:12.530492,0.10574,0.00756,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00365,-0.00968,0.01169,0.00000,0.00000,0.00389,-0.00697,0.10522,-0.02989,0.99027,0.09736,0.01709,0.00000,0.00563,0.00000,0.00000,0.00000,0.01642,0.00000,0.00000,0.00000,0.00000,57.68866,11.98067,57.68866200,11.98066650,A,144532.00
18:35:12.542473,0.11772,0.00957,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00422,-0.00968,0.01154,0.00000,0.00000,0.00389,-0.01323,0.10157,-0.02507,0.99223,0.10819,0.01465,0.00000,0.00563,0.00000,0.00000,0.00000,0.01642,0.00000,0.00000,0.00000,0.00000,57.68866,11.98067,57.68866200,11.98066650,A,144532.00
18:35:12.574868,0.15013,0.03137,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00487,-0.00968,0.01199,0.00000,0.00000,-0.00069,-0.01476,0.09510,-0.03056,0.99424,0.11813,0.00977,0.00000,-0.22999,-0.23562,0.00000,-0.00093,0.14624,0.00000,-0.01853,-1.57080,-1.57080,57.68866,11.98067,57.68866199,11.98066650,A,144532.20
18:35:12.591359,0.16660,0.00840,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00556,-0.00968,0.00894,0.00000,0.00000,-0.00038,-0.01399,0.10644,-0.04923,0.98899,0.15795,0.01221,0.00000,-0.43027,-0.43590,0.00000,-0.00181,0.14624,0.00000,-0.01853,-1.57080,-1.57080,57.68866,11.98067,57.68866198,11.98066650,A,144532.20
18:35:12.601463,0.17673,0.00811,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00652,-0.00968,0.01154,0.00000,0.00000,0.00115,-0.01262,0.10437,-0.05295,0.99479,0.16824,0.01465,0.00000,-0.60050,-0.60613,0.00000,-0.00264,0.14624,0.00000,-0.01853,-1.57080,-1.57080,57.68866,11.98067,57.68866198,11.98066650,A,144532.20
18:35:12.610780,0.18604,0.00701,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00747,-0.00968,0.01047,0.00000,0.00000,0.00405,-0.00498,0.10712,-0.05155,0.98875,0.17861,0.00977,0.00000,-0.74520,-0.75083,0.00000,-0.00344,0.14624,0.00000,-0.01853,-1.57080,-1.57080,57.68866,11.98067,57.68866197,11.98066650,A,144532.20
18:35:12.621136,0.19641,0.00697,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00831,-0.00968,0.00650,0.00000,0.00000,0.00130,0.00036,0.11139,-0.04270,0.99058,0.18904,0.01709,0.00000,-0.86820,-0.87383,0.00000,-0.00419,0.14624,0.00000,-0.01853,-1.57080,-1.57080,57.68866,11.98067,57.68866196,11.98066650,A,144532.20
18:35:12.631676,0.20695,0.00710,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00899,-0.00968,0.00665,0.00000,0.00000,0.00206,-0.00055,0.11193,-0.03337,0.98710,0.19948,0.01221,0.00000,-0.97274,-0.97837,0.00000,-0.00491,0.14624,0.00000,-0.01853,-1.57080,-1.57080,57.68866,11.98067,57.68866196,11.98066650,A,144532.20
18:35:12.645317,0.22059,0.01049,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00960,-0.00968,0.00818,0.00000,0.00000,0.00267,-0.00345,0.10559,-0.03074,0.99003,0.21032,0.01221,0.00000,-1.06161,-1.06724,0.00000,-0.00559,0.14624,0.00000,-0.01853,-1.57080,-1.57080,57.68866,11.98067,57.68866195,11.98066650,A,144532.20
18:35:12.663055,0.23832,0.00749,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01034,-0.00968,0.00298,0.00000,0.00000,-0.00176,-0.00865,0.10895,-0.03794,0.99003,0.23106,0.00977,0.00000,-1.13714,-1.14277,0.00000,-0.00624,0.14624,0.00000,-0.01853,-1.57080,-1.57080,57.68866,11.98067,57.68866194,11.98066650,A,144532.20
18:35:12.674413,0.24944,0.00819,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01116,-0.00968,-0.00038,0.00000,0.00000,-0.00115,-0.01812,0.11334,-0.04008,0.99381,0.24086,0.02198,0.00000,-1.20134,-1.20697,0.00000,-0.00685,0.14624,0.00000,-0.01853,-1.57080,-1.57080,57.68866,11.98067,57.68866194,11.98066650,A,144532.20
18:35:12.698616,0.27387,0.02168,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01198,-0.00968,-0.00450,0.00000,0.00000,-0.00008,-0.01628,0.11181,-0.03782,0.99619,0.25199,0.01709,0.00000,-1.02030,-1.02593,0.00050,-0.00744,0.27026,0.00991,-0.01853,0.00000,0.00000,57.68866,11.98067,57.68866193,11.98066651,A,144532.30
18:35:12.714861,0.29012,0.00746,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01302,-0.00968,-0.00633,0.00000,0.00000,0.00282,-0.00330,0.11273,-0.04337,0.98588,0.28284,0.01465,0.00000,-0.86641,-0.87204,0.00097,-0.00799,0.27026,0.00991,-0.01853,0.00000,0.00000,57.68866,11.98067,57.68866193,11.98066652,A,144532.30
18:35:12.724764,0.30003,0.00696,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01386,-0.00968,-0.00190,0.00000,0.00000,0.00466,-0.00147,0.11956,-0.04227,0.98454,0.29269,0.00977,0.00000,-0.73560,-0.74123,0.00141,-0.00852,0.27026,0.00991,-0.01853,0.00000,0.00000,57.68866,11.98067,57.68866192,11.98066652,A,144532.30
18:35:12.735281,0.31055,0.00707,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01485,-0.00965,-0.01259,0.00000,0.00000,-0.00191,0.00021,0.12133,-0.04575,0.98106,0.30307,0.01221,0.00000,-0.62442,-0.63003,0.00184,-0.00902,0.27026,0.00991,-0.01853,0.00000,0.00000,57.68866,11.98067,57.68866192,11.98066653,A,144532.30
18:35:12.752079,0.32734,0.01258,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01575,-0.00954,-0.00984,0.00000,0.00000,-0.00099,0.00296,0.11962,-0.04130,0.98417,0.31636,0.01954,0.00000,-0.52993,-0.53547,0.00224,-0.00949,0.27026,0.00991,-0.01853,0.00000,0.00000,57.68866,11.98067,57.68866191,11.98066654,A,144532.30
18:35:12.767974,0.34324,0.00713,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01687,-0.00920,-0.02008,0.00000,0.00000,-0.00084,-0.00239,0.10559,-0.04014,0.99131,0.33585,0.01954,0.00000,-0.44964,-0.45498,0.00262,-0.00995,0.27026,0.00991,-0.01853,0.00000,0.00000,57.68866,11.98067,57.68866191,11.98066654,A,144532.30
18:35:12.778019,0.35329,0.00694,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01786,-0.00903,-0.01977,0.00000,0.00000,-0.00176,-0.00758,0.10956,-0.04435,0.98832,0.34580,0.00977,0.00000,-0.38140,-0.38665,0.00299,-0.01038,0.27026,0.00991,-0.01853,0.00000,0.00000,57.68866,11.98067,57.68866191,11.98066655,A,144532.30
18:35:12.788858,0.36413,0.00736,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01877,-0.00894,-0.02298,0.00000,0.00000,-0.00038,-0.01384,0.11675,-0.03745,0.98655,0.35648,0.02198,0.00000,-0.32341,-0.32861,0.00333,-0.01078,0.27026,0.00991,-0.01853,0.00000,0.00000,57.68866,11.98067,57.68866190,11.98066656,A,144532.30
18:35:12.812965,0.38823,0.02105,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01971,-0.00894,-0.03016,0.00000,0.00000,0.00252,-0.01873,0.12157,-0.03520,0.98704,0.36722,0.01465,0.00000,-0.43611,-0.44131,0.00416,-0.01210,0.38461,0.01981,-0.03706,-1.07992,-1.07992,57.68866,11.98067,57.68866189,11.98066657,A,144532.40
18:35:12.828344,0.40361,0.00707,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.02154,-0.00894,-0.03122,0.00000,0.00000,0.00084,-0.02178,0.09687,-0.05673,0.98295,0.39628,0.00733,0.00000,-0.53190,-0.53710,0.00494,-0.01335,0.38461,0.01981,-0.03706,-1.07992,-1.07992,57.68866,11.98067,57.68866188,11.98066658,A,144532.40
18:35:12.838735,0.41399,0.00704,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.02273,-0.00894,-0.03046,0.00000,0.00000,-0.00313,-0.01964,0.11084,-0.05533,0.98216,0.40635,0.00488,0.00000,-0.61332,-0.61852,0.00568,-0.01453,0.38461,0.01981,-0.03706,-1.07992,-1.07992,57.68866,11.98067,57.68866187,11.98066660,A,144532.40
18:35:12.851387,0.42662,0.00926,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.02364,-0.00894,-0.03352,0.00000,0.00000,-0.00053,-0.01353,0.11761,-0.03257,0.98021,0.41799,0.00977,0.00000,-0.68253,-0.68773,0.00639,-0.01566,0.38461,0.01981,-0.03706,-1.07992,-1.07992,57.68866,11.98067,57.68866186,11.98066661,A,144532.40
18:35:12.861590,0.43686,0.00879,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.02456,-0.00894,-0.02924,0.00000,0.00000,-0.00481,-0.01017,0.12054,-0.03861,0.98808,0.42894,0.01465,0.00000,-0.74136,-0.74656,0.00706,-0.01673,0.38461,0.01981,-0.03706,-1.07992,-1.07992,57.68866,11.98067,57.68866185,11.98066662,A,144532.40
18:35:12.869670,0.44494,0.00679,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.02526,-0.00894,-0.02756,0.00000,0.00000,-0.00389,-0.00880,0.09388,-0.03166,1.00009,0.43752,0.01465,0.00000,-0.79136,-0.79656,0.00770,-0.01775,0.38461,0.01981,-0.03706,-1.07992,-1.07992,57.68866,11.98067,57.68866184,11.98066663,A,144532.40
18:35:12.880702,0.45597,0.00741,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.02629,-0.00894,-0.02496,0.00000,0.00000,-0.00695,-0.00880,0.10340,-0.05124,1.00339,0.44862,0.00977,0.00000,-0.83386,-0.83907,0.00830,-0.01871,0.38461,0.01981,-0.03706,-1.07992,-1.07992,57.68866,11.98067,57.68866183,11.98066664,A,144532.40
18:35:12.890986,0.46626,0.00728,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.02751,-0.00894,-0.02481,0.00000,0.00000,-0.00649,-0.00575,0.10138,-0.06704,1.00003,0.45837,0.01221,0.00000,-0.86999,-0.87519,0.00888,-0.01963,0.38461,0.01981,-0.03706,-1.07992,-1.07992,57.68866,11.98067,57.68866182,11.98066665,A,144532.40
18:35:12.901809,0.47708,0.00770,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.02866,-0.00894,-0.02130,0.00000,0.00000,-0.00664,-0.01384,0.11993,-0.06429,0.99296,0.46932,0.01709,0.00000,-0.90070,-0.90590,0.00943,-0.02050,0.38461,0.01981,-0.03706,-1.07992,-1.07992,57.68866,11.98067,57.68866182,11.98066666,A,144532.40
