Description : again v3 p3  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,latitude,longitude,lat_estimated,lon_estimated,status,NMEA timestamp
18:40:15.232127,0.05182,0.05178,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00102,0.03495,0.03013,0.00000,0.00000,0.00861,-0.00092,0.04825,-0.06344,0.99887,0.00001,0.03175,0.00000,-0.02033,0.00000,0.00000,0.00000,0.01993,0.00000,0.00000,0.00000,0.00000,57.68795,11.98069,57.68794600,11.98068600,A,145034.80
18:40:15.259741,0.07946,0.01409,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00022,0.03495,0.02448,0.00000,0.00000,-0.00589,-0.00290,0.10980,-0.03288,0.99064,0.06868,0.00733,0.00000,-0.02033,0.00000,0.00000,0.00000,0.01993,0.00000,0.00000,0.00000,0.00000,57.68795,11.98069,57.68794600,11.98068600,A,145034.80
18:40:15.285665,0.10538,0.01261,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00034,0.03495,0.02662,0.00000,0.00000,-0.00498,0.00611,0.05014,-0.03111,0.98789,0.09588,0.01221,0.00000,-0.02033,0.00000,0.00000,0.00000,0.01993,0.00000,0.00000,0.00000,0.00000,57.68795,11.98069,57.68794600,11.98068600,A,145034.80
18:40:15.324937,0.14465,0.02718,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00068,0.03495,0.02509,0.00000,0.00000,0.00067,0.00656,0.07027,-0.03941,0.98436,0.12106,0.01709,0.00000,0.28892,0.30925,-0.00050,0.00093,0.14099,-0.00991,0.01853,2.06168,2.06168,57.68795,11.98069,57.68794601,11.98068599,A,145034.90
18:40:15.347231,0.16694,0.01156,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00047,0.03498,0.01853,0.00000,0.00000,-0.00589,-0.00581,0.06393,-0.00665,1.01297,0.15790,0.00733,0.00000,0.55178,0.57213,-0.00097,0.00181,0.14099,-0.00991,0.01853,2.06168,2.06168,57.68795,11.98069,57.68794602,11.98068598,A,145034.90
18:40:15.372893,0.19259,0.01257,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00079,0.03552,0.02372,0.00000,0.00000,-0.00009,-0.00321,0.08601,-0.03581,1.00034,0.18251,0.01709,0.00000,0.77517,0.79583,-0.00141,0.00264,0.14099,-0.00991,0.01853,2.06168,2.06168,57.68795,11.98069,57.68794602,11.98068598,A,145034.90
18:40:15.398947,0.21866,0.01276,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00132,0.03662,0.02066,0.00000,0.00000,-0.00849,-0.00000,0.07033,-0.04612,0.99131,0.20824,0.01221,0.00000,0.96495,0.98625,-0.00184,0.00344,0.14099,-0.00991,0.01853,2.06168,2.06168,57.68795,11.98069,57.68794603,11.98068597,A,145034.90
18:40:15.424173,0.24389,0.01192,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00141,0.03710,0.02662,0.00000,0.00000,-0.00544,0.00183,0.06326,-0.02873,0.99948,0.23467,0.01954,0.00000,1.12623,1.14781,-0.00224,0.00419,0.14099,-0.00991,0.01853,2.06168,2.06168,57.68795,11.98069,57.68794604,11.98068596,A,145034.90
18:40:15.472626,0.29234,0.03552,0.00000,0.00000,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00137,0.03722,0.03013,0.00000,0.00000,-0.00101,0.00183,0.08693,-0.01958,0.98118,0.25792,0.00977,0.00000,1.24686,1.26850,-0.00411,0.00862,0.28870,-0.03962,0.09266,1.95208,1.95208,57.68795,11.98069,57.68794608,11.98068593,A,145035.10
18:40:15.499784,0.31950,0.01270,0.27324,0.27324,[3.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00037,0.03795,0.03761,0.00000,0.00000,-0.00421,-0.00275,0.08363,-0.03684,0.97661,0.30957,0.01221,0.05465,1.34933,1.37140,-0.00589,0.01282,0.28870,-0.03962,0.09266,1.95208,1.95208,57.68795,11.98069,57.68794612,11.98068590,A,145035.10
