Description : v2 p7 ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,latitude,longitude,lat_estimated,lon_estimated,status,NMEA timestamp
18:49:03.149450,0.04807,0.04803,0.00000,0.00000,[7.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00137,0.06210,-0.01615,0.00000,0.00000,0.00078,-0.00172,0.05972,-0.05533,0.98619,0.00001,0.01465,0.00000,-0.03614,0.00000,0.00000,0.00000,0.01622,0.00000,0.00000,0.00000,0.00000,57.68935,11.98010,57.68934750,11.98009750,A,145922.70
18:49:03.165341,0.06398,0.00763,0.00000,0.00000,[7.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00286,0.06297,-0.01172,0.00000,0.00000,0.00078,0.01233,0.04294,-0.03318,0.99723,0.05612,0.01221,0.00000,-0.03621,0.00043,0.00000,0.00000,0.01622,0.00000,0.00000,0.00000,0.00000,57.68935,11.98010,57.68934750,11.98009750,A,145922.70
18:49:03.175430,0.07407,0.00730,0.00000,0.00000,[7.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00399,0.06331,-0.01264,0.00000,0.00000,0.00414,0.01217,0.04215,-0.04465,0.98704,0.06631,0.00977,0.00000,-0.03631,0.00054,0.00000,0.00000,0.01622,0.00000,0.00000,0.00000,0.00000,57.68935,11.98010,57.68934750,11.98009750,A,145922.70
18:49:03.186766,0.08540,0.00807,0.00000,0.00000,[7.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00537,0.06365,-0.01936,0.00000,0.00000,0.00429,0.00790,0.05575,-0.05624,0.97057,0.07670,0.02198,0.00000,-0.03642,0.00063,0.00000,0.00000,0.01622,0.00000,0.00000,0.00000,0.00000,57.68935,11.98010,57.68934750,11.98009750,A,145922.70
18:49:03.196169,0.09481,0.00708,0.00000,0.00000,[7.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00670,0.06394,-0.02318,0.00000,0.00000,0.00856,0.00210,0.06704,-0.05142,0.96679,0.08733,0.01465,0.00000,-0.03654,0.00067,0.00000,0.00000,0.01622,0.00000,0.00000,0.00000,0.00000,57.68935,11.98010,57.68934750,11.98009750,A,145922.70
18:49:03.206442,0.10482,0.00668,0.00000,0.00000,[7.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00800,0.06413,-0.02791,0.00000,0.00000,0.00337,-0.00753,0.06936,-0.04886,0.97100,0.09749,0.01465,0.00000,-0.03666,0.00067,0.00000,0.00000,0.01622,0.00000,0.00000,0.00000,0.00000,57.68935,11.98010,57.68934750,11.98009750,A,145922.70
18:49:03.217527,0.11617,0.00762,0.00000,0.00000,[7.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.00909,0.06436,-0.03005,0.00000,0.00000,0.00780,-0.00768,0.07107,-0.03465,0.98552,0.10828,0.00977,0.00000,-0.03678,0.00068,0.00000,0.00000,0.01622,0.00000,0.00000,0.00000,0.00000,57.68935,11.98010,57.68934750,11.98009750,A,145922.70
18:49:03.240512,0.13916,0.02019,0.00000,0.00000,[7.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01006,0.06461,-0.03036,0.00000,0.00000,0.00627,-0.00921,0.07381,-0.02794,0.99802,0.11889,0.01709,0.00000,-0.03690,0.00071,0.00050,0.00000,0.13501,0.00991,0.00000,0.00000,0.00000,57.68935,11.98010,57.68934750,11.98009751,A,145922.80
18:49:03.256070,0.15471,0.00707,0.00000,0.00000,[7.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01188,0.06518,-0.02806,0.00000,0.00000,0.00948,-0.00249,0.09144,-0.05459,1.00497,0.14733,0.01221,0.00000,-0.03706,0.00088,0.00097,0.00000,0.13501,0.00991,0.00000,0.00000,0.00000,57.68935,11.98010,57.68934750,11.98009752,A,145922.80
18:49:03.267068,0.16571,0.00766,0.00000,0.00000,[7.00000 0.00000 0.00000],[1.30000 0.00000 0.00000],-0.01329,0.06518,-0.02944,0.00000,0.00000,0.00704,0.00103,0.09083,-0.06216,1.00247,0.15740,0.00977,0.00000,-0.03719,0.00075,0.00141,0.00000,0.13501,0.00991,0.00000,0.00000,0.00000,57.68935,11.98010,57.68934750,11.98009752,A,145922.80
