Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent
08:56:53.254751,0.01070,0.01065,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00042,-0.00127,0.00000,0.00363,0.00019,-0.00445,-0.07472,0.98497,0.00001,0.06838
08:56:53.275190,0.03153,0.00776,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00226,-0.00677,0.00000,-0.00263,0.00187,-0.00378,-0.07442,0.98509,0.02270,0.13919
08:56:53.284517,0.04085,0.00673,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00134,-0.00402,0.00000,0.00180,-0.00286,-0.00378,-0.07631,0.98631,0.03218,0.14652
08:56:53.296280,0.05259,0.00810,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00263,0.00789,0.00000,-0.00110,0.00080,-0.00268,-0.07442,0.98369,0.04350,0.15385
08:56:53.305039,0.06137,0.00646,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00110,0.00331,0.00000,-0.00049,-0.00118,-0.00458,-0.07564,0.98417,0.05251,0.17827
08:56:53.315273,0.07160,0.00648,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00012,-0.00035,0.00000,-0.00217,-0.00072,-0.00311,-0.07832,0.98344,0.06241,0.15385
08:56:53.326242,0.08256,0.00709,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00302,-0.00906,0.00000,0.00027,-0.00042,-0.00305,-0.07442,0.98643,0.07341,0.16361
08:56:53.336137,0.09226,0.00642,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00073,-0.00218,0.00000,0.00287,0.00111,-0.00305,-0.07442,0.98362,0.08304,0.16361
08:56:53.346813,0.10243,0.00567,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00073,-0.00218,0.00000,0.00073,0.00126,-0.00378,-0.07619,0.98277,0.09398,0.16606
08:56:53.357884,0.11420,0.00709,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00256,-0.00768,0.00000,0.00164,0.00019,-0.00342,-0.07326,0.98381,0.10450,0.15873
08:56:53.366775,0.12311,0.00564,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00294,0.00881,0.00000,0.00134,-0.00286,-0.00311,-0.07674,0.98369,0.11465,0.16361
