"Description : , ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0"
RealTime,Time,CalculationTime,Roll,SteeringAngle,RollRate,ControlInput,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent
09:21:19.237223,0.01605,0.01604,-0.00154,0.00000,0.00193,0.19883,-0.00023,0.00176,-0.00092,-0.07851,0.98478,0.00001,0.06349
09:21:19.261869,0.04198,0.01164,-0.00306,0.00000,0.00208,0.46888,-0.00008,-0.00068,-0.00268,-0.08119,0.98448,0.02902,0.14164
09:21:19.291723,0.07183,0.01663,-0.00463,0.00000,-0.00204,0.92935,0.00145,-0.00038,-0.00195,-0.07851,0.98430,0.05615,0.16361
09:21:19.318252,0.09837,0.01185,-0.00622,0.00000,-0.00143,1.19192,-0.00099,0.00206,-0.00275,-0.08180,0.98179,0.08445,0.13919
09:21:19.346681,0.12678,0.01626,-0.00765,0.00000,0.00178,1.31683,-0.00298,-0.00068,-0.00201,-0.07924,0.98326,0.11174,0.13919
09:21:19.377136,0.15725,0.01498,-0.00902,0.00000,0.00331,1.50011,0.00007,0.00130,-0.00262,-0.07924,0.98362,0.14130,0.14652
09:21:19.405340,0.18546,0.01464,-0.01048,0.00000,0.00163,1.83678,0.00130,0.00145,-0.00238,-0.08253,0.96898,0.17148,0.15140
09:21:19.431591,0.21109,0.01387,-0.01182,0.00000,0.00254,2.04250,0.00099,-0.00130,-0.00165,-0.07869,0.98576,0.19621,0.14896
09:21:19.457679,0.23780,0.01287,-0.01328,0.00000,-0.00219,2.50837,0.00175,0.00115,-0.00458,-0.07942,0.98448,0.22382,0.14896
09:21:19.480902,0.26100,0.01370,-0.01464,0.00000,0.00254,2.55486,-0.00008,0.00176,-0.00262,-0.08198,0.98460,0.24666,0.13675
09:21:19.509382,0.28949,0.01500,-0.01591,0.00000,0.00361,2.74011,0.00206,0.00069,-0.00299,-0.08009,0.98289,0.27513,0.12454
09:21:19.529393,0.30951,0.01013,-0.01730,0.00000,-0.00280,3.26566,-0.00069,0.00237,-0.00140,-0.07936,0.98637,0.29720,0.13675
09:21:19.558113,0.33822,0.01567,-0.01855,0.00000,0.00285,3.25386,-0.00008,-0.00007,-0.00317,-0.07973,0.98369,0.32247,0.12454
09:21:19.581896,0.36197,0.01578,-0.01993,0.00000,-0.00219,3.71688,0.00053,-0.00252,-0.00293,-0.08095,0.98320,0.34522,0.14652
09:21:19.609657,0.38977,0.01391,-0.02117,0.00000,0.00163,3.78204,0.00298,-0.00130,-0.00275,-0.08064,0.98430,0.37547,0.13431
09:21:19.637367,0.41747,0.01511,-0.02246,0.00000,-0.00143,4.14631,-0.00008,-0.00191,-0.00329,-0.07899,0.98259,0.40159,0.14164
09:21:19.665227,0.44534,0.01412,-0.02375,0.00000,-0.00158,4.38697,0.00175,0.00313,-0.00226,-0.07960,0.98393,0.43042,0.13431
09:21:19.692930,0.47304,0.01607,-0.02508,0.00000,-0.00311,4.69370,0.00114,-0.00114,-0.00152,-0.08125,0.98466,0.45761,0.13675
09:21:19.722826,0.50292,0.01537,-0.02628,0.00000,-0.00005,4.78136,0.00084,-0.00252,-0.00348,-0.07869,0.98204,0.48765,0.12698
09:21:19.747559,0.52768,0.01219,-0.02753,0.00000,-0.00265,5.11909,-0.00267,-0.00068,-0.00348,-0.07942,0.98344,0.51396,0.13187
09:21:19.770686,0.55080,0.00906,-0.02865,0.00000,0.00147,5.14835,-0.00252,0.00038,0.00037,-0.07918,0.98430,0.54044,0.12210
09:21:19.784630,0.56391,0.01132,-0.02980,0.00000,0.00147,5.35817,-0.00145,-0.00114,-0.00238,-0.08076,0.98295,0.55087,0.13187
09:21:19.812917,0.59303,0.01273,-0.03089,0.00000,0.00147,5.55503,0.00252,0.00161,-0.00220,-0.07906,0.98527,0.57869,0.13675
09:21:19.837931,0.61755,0.01348,-0.03195,0.00000,0.00147,5.74826,0.00359,0.00145,-0.00360,-0.07869,0.98655,0.60417,0.11966
09:21:19.872412,0.65248,0.02261,-0.03314,0.00000,-0.00250,6.13295,0.00099,0.00130,-0.00262,-0.08082,0.98210,0.63215,0.11966
09:21:19.905899,0.68601,0.02116,-0.03412,0.00000,0.00269,6.09133,-0.00038,0.00008,-0.00458,-0.07936,0.98594,0.66823,0.13675
09:21:19.948050,0.72801,0.02449,-0.03506,0.00000,0.00346,6.22970,0.00267,0.00084,-0.00281,-0.07979,0.98332,0.70721,0.12210
09:21:19.980749,0.76086,0.01731,-0.03598,0.00000,0.00315,6.40986,0.00053,-0.00252,-0.00329,-0.07899,0.98442,0.74733,0.12210
09:21:20.019800,0.79990,0.02147,-0.03703,0.00000,-0.00143,6.79529,-0.00023,-0.00130,-0.00171,-0.07716,0.98393,0.78199,0.12698
09:21:20.057355,0.83747,0.02089,-0.03806,0.00000,0.00010,6.91820,0.00282,0.00008,-0.00134,-0.08021,0.98277,0.81700,0.12698
09:21:20.084980,0.86509,0.01329,-0.03903,0.00000,0.00101,7.05522,0.00145,0.00054,-0.00079,-0.07912,0.98436,0.85113,0.12698
09:21:20.112810,0.89158,0.01339,-0.04021,0.00000,-0.00570,7.55441,0.00053,0.00176,-0.00134,-0.08192,0.98277,0.87755,0.11722
09:21:20.135721,0.91582,0.01321,-0.04119,0.00000,0.00010,7.48770,-0.00206,-0.00068,-0.00152,-0.08034,0.98417,0.90098,0.11966
09:21:20.163737,0.94385,0.01447,-0.04206,0.00000,0.00331,7.51006,0.00084,0.00252,-0.00110,-0.07936,0.98381,0.92809,0.12943
09:21:20.193037,0.97313,0.01598,-0.04304,0.00000,-0.00112,7.87551,0.00099,-0.00099,-0.00299,-0.07954,0.98564,0.95686,0.13187
09:21:20.218629,0.99874,0.01414,-0.04399,0.00000,-0.00097,8.04206,0.00282,-0.00267,-0.00348,-0.07893,0.98308,0.98434,0.14896
09:21:20.243389,1.02256,0.01221,-0.04499,0.00000,-0.00326,8.32017,0.00099,-0.00053,-0.00500,-0.07948,0.98527,1.00897,0.12210
09:21:20.269463,1.04957,0.01518,-0.04590,0.00000,-0.00067,8.37579,0.00267,-0.00145,-0.00207,-0.07906,0.98625,1.03469,0.12210
