Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,Roll,SteeringAngle,RollRate,ControlInput,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent
10:20:07.225655,0.00865,0.00808,-0.03069,-0.33243,0.11158,0.00000,-0.00040,-0.00345,-0.01488,-0.01226,0.98808,0.00001,0.01221
10:20:07.236225,0.01924,0.00760,-0.06129,-0.33081,0.04158,4.78604,-0.00071,-0.00009,-0.01641,-0.01183,0.98631,0.00929,0.01954
10:20:07.245053,0.02807,0.00622,-0.08780,-0.33081,0.00658,4.88674,-0.00040,0.00113,-0.01470,-0.00732,0.98881,0.01923,0.01221
10:20:07.255958,0.03897,0.00691,-0.12022,-0.32595,-0.03717,4.91667,0.00204,0.00251,-0.01452,-0.01409,0.98966,0.02947,0.00244
10:20:07.266037,0.04904,0.00678,-0.15156,-0.30973,0.04158,4.78462,0.00159,0.00113,-0.01269,-0.01434,0.99113,0.03967,0.00488
10:20:07.276490,0.05950,0.00636,-0.18069,-0.27730,0.09408,4.41607,-0.00223,0.00052,-0.01263,-0.01293,0.98918,0.04996,0.00733
10:20:07.285836,0.06886,0.00534,-0.20825,-0.23838,0.23408,3.94452,-0.00254,0.00006,-0.01080,-0.01324,0.98881,0.06023,0.00488
10:20:07.297556,0.08057,0.00670,-0.23722,-0.20108,0.06783,3.48351,-0.00284,-0.00101,-0.01189,-0.01342,0.99064,0.07036,0.00733
10:20:07.308061,0.09107,0.00684,-0.26449,-0.17027,0.05033,3.10972,0.00250,-0.00009,-0.01360,-0.01183,0.99119,0.08161,0.00977
10:20:07.316810,0.09983,0.00524,-0.29040,-0.14595,-0.01092,3.10972,0.00220,0.00037,-0.01586,-0.00994,0.98826,0.09104,0.00244
10:20:07.328613,0.11163,0.00667,-0.31544,-0.12973,0.15533,2.62000,-0.00009,-0.00116,-0.01464,-0.01141,0.99198,0.10163,0.00000
10:20:07.338560,0.12137,0.00605,-0.34392,-0.11838,0.07658,2.49785,0.00174,0.00220,-0.01342,-0.01482,0.98966,0.11198,0.00733
10:20:07.349354,0.13235,0.00663,-0.37247,-0.11189,-0.03717,2.44376,0.00357,-0.00070,-0.01586,-0.01397,0.98582,0.12291,0.00000
10:20:07.359346,0.14235,0.00627,-0.39871,-0.10865,0.19908,2.44376,0.00097,-0.00269,-0.01458,-0.01452,0.98796,0.13274,0.00000
10:20:07.369996,0.15299,0.00654,-0.42439,-0.10541,0.26033,2.41864,0.00143,0.00052,-0.01647,-0.01531,0.98692,0.14368,0.00000
10:20:07.380758,0.16377,0.00695,-0.44534,-0.09892,0.26908,2.35906,0.00327,-0.00131,-0.01476,-0.01031,0.98667,0.15420,0.00488
10:20:07.390912,0.17391,0.00623,-0.47000,-0.08919,-0.00217,2.25025,-0.00025,-0.00208,-0.01677,-0.01171,0.98802,0.16446,0.00000
10:20:07.400979,0.18399,0.00610,-0.48985,-0.07784,0.34783,2.11469,-0.00162,-0.00009,-0.01806,-0.01061,0.99162,0.17446,0.00244
10:20:07.411339,0.19435,0.00625,-0.51394,-0.06811,0.06783,1.99977,0.00067,-0.00162,-0.01629,-0.01263,0.98637,0.18488,0.00000
10:20:07.421706,0.20472,0.00627,-0.53485,-0.05838,0.37408,1.88108,-0.00071,0.00021,-0.01684,-0.01287,0.98844,0.19491,0.00000
10:20:07.432417,0.21543,0.00661,-0.55743,-0.05027,0.19033,1.78353,0.00189,-0.00284,-0.01629,-0.01318,0.98887,0.20548,0.00488
10:20:07.441884,0.22490,0.00572,-0.58026,-0.04378,0.15533,1.70687,0.00159,-0.00116,-0.01562,-0.01348,0.98899,0.21625,0.00733
10:20:07.453595,0.23659,0.00659,-0.60167,-0.04054,0.21658,1.67402,0.00113,-0.00223,-0.01494,-0.01281,0.98442,0.22657,0.01954
10:20:07.463477,0.24649,0.00614,-0.62062,-0.03892,0.16408,1.66349,0.00052,-0.00315,-0.01586,-0.00982,0.98918,0.23700,0.00244
10:20:07.474028,0.25704,0.00598,-0.63712,-0.03730,0.29533,1.65276,0.00097,-0.00070,-0.01226,-0.00897,0.98863,0.24770,0.00000
10:20:07.485252,0.26826,0.00684,-0.65725,-0.03243,0.13783,1.59545,0.00265,0.00006,-0.01458,-0.01159,0.98997,0.25880,0.00244
10:20:07.495827,0.27883,0.00699,-0.67669,-0.02595,0.28658,1.51243,0.00265,-0.00223,-0.01220,-0.01263,0.98728,0.26880,0.00244
10:20:07.505377,0.28839,0.00635,-0.69736,-0.02108,0.29533,1.51243,-0.00116,-0.00101,-0.01299,-0.01440,0.98796,0.27854,0.00977
