Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time (s),CalculationTime (s),Roll (deg),SteeringAngle (deg),RollRate (deg),ControlInput (deg),gy (rad/s),gz (rad/s),ax (g),ay (g),az (g),imu_read_timing (s),SteerMotorCurrent (A)
10:45:02.698697,0.01483,0.01427,-0.01113,1.23405,-0.34641,-21.27240,0.00015,-0.00004,-0.00970,0.01543,0.98924,0.00059,0.02686
10:45:02.719044,0.03523,0.00970,-0.02447,1.13514,-0.24141,-24.33574,0.00015,0.00225,-0.00958,0.01519,0.98253,0.02439,0.58852
10:45:02.729912,0.04609,0.01021,-0.04426,0.94865,-0.14516,-23.14346,0.00137,-0.00020,-0.01263,0.00262,0.99259,0.03350,0.52747
10:45:02.755213,0.07139,0.01287,-0.07559,0.39243,-0.60016,-22.99623,0.00152,0.01339,-0.01385,0.00494,0.98106,0.05921,0.57143
10:45:02.778268,0.09380,0.01026,-0.05058,-0.13784,-0.62641,-20.90991,0.00182,0.00316,-0.00927,0.06814,0.98643,0.08233,0.81074
10:45:02.799024,0.11520,0.00841,-0.15519,-0.62595,-1.27391,-25.71768,0.00198,-0.01409,-0.01348,-0.06557,0.99009,0.10418,1.50672
10:45:02.808901,0.12509,0.00795,-0.18786,-0.85297,-1.88641,-31.07870,0.00396,-0.02433,-0.00750,0.00830,1.00217,0.11548,0.87424
10:45:02.819713,0.13590,0.00856,-0.22078,-1.15135,-1.74641,-34.37833,0.00564,-0.03303,-0.00506,0.00366,0.98527,0.12583,1.47985
10:45:02.830841,0.14702,0.00952,-0.24299,-1.47405,-2.03516,-37.22286,0.00015,-0.03593,-0.02007,0.01592,0.99009,0.13493,1.43101
10:45:02.840530,0.15671,0.00867,-0.30289,-1.84216,-2.57766,-43.39201,0.00625,-0.03761,-0.00823,-0.01690,0.99082,0.14586,1.28449
10:45:02.850672,0.16685,0.00864,-0.31763,-2.20216,-2.77016,-49.30645,0.00167,-0.03624,-0.01440,0.03392,0.99162,0.15596,1.51160
10:45:02.861101,0.17728,0.00890,-0.33444,-2.67568,-2.51641,-52.74794,0.00305,-0.03395,-0.01171,0.02885,0.99088,0.16624,1.82418
10:45:02.870887,0.18624,0.00768,-0.33934,-3.12811,-2.63016,-56.22861,0.00473,-0.03120,0.00018,0.04276,0.99521,0.17617,2.06593
10:45:02.879794,0.19598,0.00721,-0.38390,-3.65514,-2.53391,-58.26199,0.00534,-0.03593,-0.02233,-0.00494,0.99704,0.18589,0.98901
10:45:02.892670,0.20885,0.00989,-0.42699,-4.23243,-2.67391,-60.95002,0.00244,-0.03548,0.00378,-0.00006,0.97826,0.19640,1.98779
10:45:02.902793,0.21897,0.00868,-0.44537,-4.91027,-2.69141,-63.13436,0.00060,-0.03181,0.00415,0.03148,0.99125,0.20808,1.05250
10:45:02.912383,0.22857,0.00783,-0.50450,-5.52973,-2.91891,-65.18395,0.00503,-0.03349,-0.02105,-0.01903,0.98613,0.21786,1.62637
10:45:02.922988,0.23917,0.00799,-0.55900,-6.20432,-3.07641,-67.71669,0.00350,-0.03593,-0.01915,-0.01128,0.99119,0.22815,1.21368
10:45:02.935192,0.25054,0.00899,-0.60266,-6.87730,-2.80516,-69.61629,0.00457,-0.04311,-0.03306,-0.00250,1.00674,0.23857,1.31868
10:45:02.944369,0.26054,0.00849,-0.65859,-7.58108,-3.02391,-72.15551,0.00854,-0.05166,-0.00848,-0.01525,1.00101,0.24890,1.57753
10:45:02.953944,0.26946,0.00724,-0.69192,-8.32541,-3.19016,-74.04113,0.00595,-0.06739,-0.01647,0.01232,0.99613,0.25931,0.96703
10:45:02.964342,0.28051,0.00813,-0.75854,-9.04216,-3.78516,-78.56650,0.00534,-0.07442,-0.03367,-0.02080,0.99582,0.26949,1.35775
10:45:02.975111,0.29040,0.00753,-0.80556,-9.82703,-4.31016,-83.79181,0.00778,-0.08434,-0.03447,0.00708,0.99912,0.27971,1.45299
10:45:02.984995,0.30118,0.00814,-0.85248,-10.61676,-4.35391,-89.54923,0.01450,-0.09366,-0.03080,0.00781,0.96630,0.29017,1.85348
10:45:02.996252,0.31243,0.00815,-0.89511,-11.58486,-4.59016,-94.66824,0.01282,-0.09122,-0.01690,0.01909,0.98064,0.30146,1.27961
10:45:03.006899,0.32308,0.00859,-0.94120,-12.50595,-4.63391,-99.57107,0.01175,-0.08893,-0.01787,0.01208,0.98070,0.31219,0.87912
10:45:03.016129,0.33232,0.00706,-1.02662,-13.54865,-4.50266,-102.68858,0.01297,-0.07915,-0.02532,-0.03508,0.98905,0.32301,1.69719
10:45:03.028189,0.34369,0.00771,-1.10639,-14.61405,-4.53766,-105.35555,0.00488,-0.06892,-0.05478,-0.03154,1.00412,0.33354,0.84249
10:45:03.039421,0.35558,0.00944,-1.16026,-15.65351,-4.35391,-106.65533,0.00885,-0.06098,-0.02208,-0.00799,0.99985,0.34345,1.59951
10:45:03.049860,0.36603,0.00976,-1.23835,-16.74811,-4.45016,-108.99674,0.01481,-0.06388,-0.01372,-0.03160,0.98423,0.35413,1.03053
10:45:03.060316,0.37650,0.00860,-1.30174,-17.96919,-4.77391,-111.43507,0.01022,-0.07411,-0.03880,-0.00945,1.00540,0.36536,0.90842
10:45:03.070584,0.38656,0.00849,-1.34074,-19.13189,-5.22016,-114.18147,0.01481,-0.08389,-0.01549,0.01842,1.00174,0.37571,0.77411
10:45:03.080413,0.39627,0.00807,-1.39084,-20.17784,-5.27266,-117.16162,0.01572,-0.09412,-0.03880,0.00061,0.99503,0.38527,0.86935
10:45:03.088739,0.40493,0.00636,-1.44105,-21.39892,-5.44766,-119.26314,0.01908,-0.10435,-0.04910,0.00616,0.98539,0.39559,0.55922
10:45:03.101141,0.41730,0.00837,-1.50524,-22.60216,-5.49141,-121.83174,0.02091,-0.10649,-0.03233,-0.01000,0.99979,0.40596,0.59829
10:45:03.110767,0.42692,0.00782,-1.57539,-23.81676,-5.22016,-122.73566,0.02244,-0.10817,-0.06112,-0.02275,0.97826,0.41600,0.62027
10:45:03.121652,0.43784,0.00790,-1.68065,-25.18216,-5.73641,-125.61527,0.02626,-0.10572,-0.02836,-0.05069,0.96837,0.42713,0.40781
10:45:03.132104,0.44829,0.00798,-1.72912,-26.43243,-5.78016,-128.08791,0.02244,-0.09595,-0.06911,0.00616,0.97899,0.43731,0.53724
10:45:03.143016,0.45920,0.00838,-1.76136,-27.89676,-5.59641,-129.36480,0.02076,-0.09488,-0.03569,0.03166,0.96148,0.44917,0.46886
10:45:03.154109,0.47030,0.00930,-1.82177,-29.22162,-4.69516,-125.71739,0.01771,-0.08618,-0.04752,-0.02269,0.96356,0.45901,0.32234
10:45:03.164734,0.48092,0.00915,-1.86248,-30.53676,-4.47641,-122.69304,0.01985,-0.08098,-0.02470,-0.00213,0.98021,0.46923,0.14896
10:45:03.173971,0.49016,0.00822,-1.93453,-31.89892,-4.36266,-116.70486,0.01878,-0.07869,-0.04673,-0.03910,0.97283,0.47955,0.01221
10:45:03.184436,0.50062,0.00832,-1.95822,-33.12324,-4.06516,-112.32590,0.02275,-0.07381,-0.02275,0.00848,0.97130,0.48932,0.00000
10:45:03.196887,0.51254,0.00951,-2.00000,-34.50486,-3.53141,-104.13112,0.02076,-0.06984,-0.03190,-0.01110,0.99088,0.50094,0.00000
10:45:03.206519,0.52251,0.00851,-2.07485,-35.70000,-3.79391,-98.22782,0.02015,-0.06923,-0.01763,-0.05270,0.98850,0.51110,0.00000
10:45:03.216711,0.53290,0.00871,-2.11117,-36.84811,-3.64516,-93.10086,0.02030,-0.06953,-0.03587,-0.00903,0.99528,0.52184,0.00000
10:45:03.227101,0.54239,0.00803,-2.11801,-37.87622,-3.37391,-87.63611,0.01923,-0.06999,-0.02727,0.01690,1.00095,0.53144,0.00000
10:45:03.237116,0.55330,0.00866,-2.10161,-38.93514,-3.12016,-80.02465,0.02244,-0.07243,-0.02019,0.04581,0.98356,0.54258,0.00000
10:45:03.246779,0.56202,0.00702,-2.14614,-39.84649,-2.60391,-72.10752,0.02259,-0.07992,-0.01006,-0.03526,0.97679,0.55191,0.00000
10:45:03.256951,0.57314,0.00778,-2.18677,-40.70757,-2.60391,-65.52984,0.01771,-0.07686,-0.01909,-0.02898,0.99942,0.56237,0.00000
10:45:03.267598,0.58311,0.00739,-2.19682,-41.47297,-2.25391,-58.99681,0.02015,-0.06907,-0.00665,0.00171,0.99180,0.57282,0.00000
10:45:03.277787,0.59397,0.00789,-2.20152,-42.20270,-1.57141,-49.89416,0.01435,-0.06159,0.01830,-0.00073,1.02071,0.58311,0.00000
10:45:03.288983,0.60517,0.00799,-2.20689,-42.88054,-0.76641,-38.52957,0.00839,-0.05197,0.00207,-0.01037,1.00863,0.59427,0.00000
10:45:03.297976,0.61416,0.00663,-2.22746,-43.40270,-0.20641,-27.72965,0.00839,-0.04021,0.00287,-0.03477,0.97923,0.60434,0.00000
10:45:03.307442,0.62363,0.00574,-2.25560,-43.81946,0.40609,-16.39962,0.00580,-0.03257,-0.00512,-0.05161,0.99241,0.61492,0.00000
