Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time (s),CalculationTime (s),Roll (deg),SteeringAngle (deg),RollRate (deg),ControlInput (deg),gy (rad/s),gz (rad/s),ax (g),ay (g),az (g),imu_read_timing (s),SteerMotorCurrent (A),deltadot_computed,steering_acc
10:51:46.569502,0.01087,0.01009,-0.00670,0.64541,0.16233,-9.80231,-0.00065,0.00048,-0.01153,0.01476,0.98875,0.00001,0.01465,2.04805,-30.85802
10:51:46.587636,0.02904,0.00946,-0.01388,0.62432,0.14483,-9.88453,0.00180,0.00002,-0.01226,0.01299,0.99277,0.01826,0.33211,-0.01971,-0.07673
10:51:46.596512,0.03791,0.00771,-0.01977,0.55135,0.22358,-8.77655,0.00134,0.00017,-0.01385,0.01482,0.99186,0.02820,0.26618,-0.13639,2.06405
10:51:46.604611,0.04602,0.00562,-0.02789,0.44595,0.04858,-7.72779,-0.00050,0.00063,-0.01293,0.01409,0.98838,0.03773,0.16361,-0.19396,1.92315
10:51:46.616568,0.05797,0.00722,-0.03144,0.32595,0.05733,-6.47305,0.00393,-0.00074,-0.01244,0.01903,0.98844,0.04856,0.07814,-0.18799,1.95965
10:51:46.625232,0.06664,0.00553,-0.04414,0.21730,-0.21392,-6.18368,-0.00233,0.00231,-0.01226,0.01153,0.98820,0.05839,0.04396,-0.20103,0.52239
10:51:46.636109,0.07751,0.00578,-0.05073,0.12486,0.13608,-5.16424,0.00302,0.00094,-0.00988,0.01427,0.98722,0.06922,0.08059,-0.15244,1.67571
10:51:46.646041,0.08744,0.00536,-0.05630,0.07459,0.18858,-4.63338,0.00027,0.00338,-0.00945,0.01488,0.99143,0.07942,0.14164,-0.08643,0.90969
10:51:46.656820,0.09823,0.00594,-0.07463,0.04541,0.15358,-4.75492,0.00073,0.00139,-0.01324,0.00049,0.99253,0.08955,0.45665,-0.05052,-0.20967
10:51:46.667106,0.10851,0.00587,-0.09702,0.00162,-0.33642,-6.61557,0.00347,-0.00074,-0.01208,0.00134,0.98832,0.10026,0.31502,-0.07163,-3.03473
10:51:46.679523,0.11975,0.00675,-0.10311,-0.05676,-0.39767,-8.62552,0.00118,-0.00197,-0.01830,0.02074,0.99210,0.11145,0.40537,-0.09138,-3.13692
10:51:46.691350,0.13273,0.00865,-0.10335,-0.12324,-0.26642,-9.94029,-0.00172,-0.00135,-0.01214,0.02562,0.99131,0.12235,0.94994,-0.10678,-2.10505
10:51:46.702552,0.14374,0.00949,-0.11442,-0.20432,-0.17017,-10.51297,0.00088,-0.00563,-0.01702,0.01159,0.98857,0.13176,0.56410,-0.15116,-1.06374
10:51:46.711566,0.15297,0.00831,-0.14093,-0.32270,-0.36267,-11.78834,0.00180,-0.00349,-0.01177,-0.00372,0.98704,0.14257,0.34921,-0.18819,-2.02084
10:51:46.722104,0.16350,0.00848,-0.15128,-0.42811,-0.77392,-14.49871,0.00409,-0.00777,-0.00573,0.01915,0.98033,0.15323,0.75458,-0.17698,-4.53585
10:51:46.732336,0.17373,0.00855,-0.16889,-0.54811,-0.80892,-17.15176,0.00180,-0.00685,-0.01159,0.01074,0.98448,0.16343,1.10623,-0.20606,-4.54143
10:51:46.741771,0.18317,0.00780,-0.19031,-0.69405,-0.65142,-18.80281,-0.00065,-0.00807,-0.01183,0.00378,0.99369,0.17294,0.64469,-0.26935,-3.03649
10:51:46.752262,0.19366,0.00793,-0.21499,-0.84973,-1.02767,-22.01687,0.00210,-0.01052,-0.01629,0.00458,0.99997,0.18316,1.00855,-0.26703,-5.49470
10:51:46.764047,0.20544,0.00897,-0.23419,-1.08324,-0.99267,-25.00201,0.00424,-0.01082,-0.00872,0.01202,0.98936,0.19517,0.99145,-0.34034,-4.33918
10:51:46.773967,0.21536,0.00883,-0.24319,-1.27459,-1.08017,-27.53872,0.00485,-0.01510,-0.00769,0.02178,0.99424,0.20476,1.17216,-0.35004,-4.62489
10:51:46.782657,0.22405,0.00683,-0.25369,-1.53892,-1.29892,-30.11445,0.00180,-0.01372,-0.00116,0.02318,0.97996,0.21520,1.39927,-0.44355,-4.30766
10:51:46.794453,0.23503,0.00746,-0.28562,-1.83405,-1.45642,-32.76209,-0.00050,-0.01831,-0.01299,0.00000,0.98844,0.22539,1.52869,-0.50839,-4.54558
10:51:46.805553,0.24695,0.00872,-0.30588,-2.15676,-1.62267,-35.63403,0.00057,-0.01983,-0.00817,0.01507,0.99454,0.23568,1.62393,-0.54965,-4.87498
10:51:46.816248,0.25680,0.00774,-0.32560,-2.51189,-1.58767,-38.18155,0.00271,-0.02060,-0.01604,0.01568,0.99759,0.24636,1.52625,-0.58293,-4.16858
10:51:46.825481,0.26688,0.00746,-0.35958,-2.89135,-2.25267,-42.58216,0.00332,-0.02228,-0.01104,0.00641,0.99375,0.25685,1.61905,-0.63365,-7.32529
10:51:46.836077,0.27748,0.00770,-0.38656,-3.29514,-2.05142,-45.88437,0.00363,-0.02212,-0.00817,0.01110,0.98680,0.26720,1.28694,-0.68328,-5.56970
10:51:46.848830,0.28996,0.00947,-0.42892,-3.77514,-2.17392,-49.51045,0.00454,-0.02609,-0.01616,-0.00354,0.98625,0.27840,1.28694,-0.75122,-5.56558
10:51:46.856996,0.29838,0.00715,-0.47150,-4.24865,-2.62892,-53.87238,0.00302,-0.03251,-0.01525,-0.00116,1.00058,0.28879,1.44078,-0.81375,-7.47263
10:51:46.867775,0.30918,0.00774,-0.50454,-4.74162,-2.69892,-58.22993,0.00103,-0.03495,-0.02385,0.00945,1.00180,0.29898,1.44322,-0.84719,-7.46355
10:51:46.880242,0.32164,0.00984,-0.55667,-5.31730,-3.18892,-64.37753,0.00424,-0.04106,-0.02446,-0.00427,0.99064,0.31009,1.47253,-0.90827,-9.66976
10:51:46.889377,0.33076,0.00842,-0.60159,-5.97568,-3.34642,-69.01144,0.00790,-0.04625,-0.01653,0.00262,0.99320,0.32054,1.53602,-1.10468,-7.74978
10:51:46.900559,0.34144,0.00863,-0.65025,-6.65676,-3.69642,-74.94305,0.01233,-0.04610,-0.02403,0.00268,0.98728,0.33122,1.64835,-1.11699,-9.69976
