Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,FilteredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.04136,57.67097783,11.99832483,57.67097783,11.99832483,12:09:40.716585,0.04112,1.26500,1.26500,0.00013,0.06934,0.01650,0.00247,-0.06688,-0.03242,-0.01847,0.98935,0.00001,1.26500,-0.18639,-0.14603,2.64619,-0.38918,0.00000,2.64619,-0.38918,-0.14603,0.00000,A,120940.60
0.05381,57.67097783,11.99832483,57.67097783,11.99832483,12:09:40.729014,0.01095,1.26500,1.26500,0.00063,0.06903,0.03784,-0.02574,-0.05835,-0.00907,-0.01134,0.94977,0.04249,0.08903,-0.00630,-0.14603,1.77167,-0.40189,0.00000,2.64619,-0.38918,-0.14603,0.00000,A,120940.60
0.06475,57.67097783,11.99832483,57.67097783,11.99832483,12:09:40.740100,0.00948,1.26500,1.26500,0.00137,0.06903,0.04089,-0.02803,-0.05815,0.00733,-0.01187,0.94045,0.05469,0.08903,-0.00620,-0.14603,1.77345,-0.40184,0.00000,2.64619,-0.38918,-0.14603,0.00000,A,120940.60
0.07660,57.67097783,11.99832483,57.67097783,11.99832483,12:09:40.751795,0.01034,1.26500,1.26500,0.00174,0.06903,0.03670,-0.01627,-0.05791,0.03035,0.00188,0.94469,0.06569,0.08903,-0.00615,-0.14603,1.77443,-0.40181,0.00000,2.64619,-0.38918,-0.14603,0.00000,A,120940.60
0.09125,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.766456,0.01330,1.26500,1.26500,0.00208,0.06903,0.03533,-0.00571,-0.05396,0.02472,0.00548,0.94564,0.07737,0.08903,-0.00609,-0.14603,1.77543,-0.40178,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.10379,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.778989,0.01114,1.24101,1.24101,0.00242,0.06903,0.03615,0.01061,-0.05718,0.02653,0.00229,0.96667,0.09214,0.17026,-0.01192,-0.14603,2.32772,-0.49613,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.11317,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.788376,0.00796,1.24101,1.24101,0.00293,0.06903,0.03692,0.01811,-0.05313,-0.00547,0.00683,0.98539,0.10464,0.17026,-0.01177,-0.14603,2.33048,-0.49606,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.12341,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.798627,0.00794,1.24101,1.24101,0.00322,0.06900,0.03497,0.02160,-0.05905,-0.02440,-0.00217,1.03088,0.11491,0.17026,-0.01167,-0.14603,2.33237,-0.49601,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.13351,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.808702,0.00786,1.24101,1.24101,0.00347,0.06892,0.03407,0.01392,-0.06880,-0.06155,-0.00053,1.04142,0.12533,0.17026,-0.01157,-0.14603,2.33411,-0.49597,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.14373,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.818939,0.00790,1.24101,1.24101,0.00371,0.06872,0.03365,-0.00304,-0.07045,-0.07280,-0.01021,1.04597,0.13521,0.17026,-0.01148,-0.14603,2.33585,-0.49593,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.15387,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.829067,0.00787,1.24101,1.24101,0.00393,0.06844,0.03281,-0.00874,-0.08067,-0.08019,-0.02634,1.04073,0.14567,0.17026,-0.01139,-0.14603,2.33757,-0.49589,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.16414,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.839349,0.00795,1.24101,1.24101,0.00425,0.06801,0.04458,-0.01485,-0.08146,-0.04062,-0.01467,1.04581,0.15557,0.17026,-0.01129,-0.14603,2.33931,-0.49585,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.17440,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.849636,0.00804,1.24101,1.24101,0.00462,0.06753,0.04976,-0.01578,-0.08380,-0.00452,-0.00360,1.02495,0.16615,0.17026,-0.01120,-0.14603,2.34103,-0.49581,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.18541,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.860604,0.00895,1.24101,1.24101,0.00499,0.06708,0.04962,-0.00935,-0.07985,0.00133,0.00445,0.99973,0.17710,0.17026,-0.01110,-0.14603,2.34281,-0.49576,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.19544,57.67097783,11.99832483,57.67097767,11.99832700,12:09:40.870649,0.00862,1.24101,1.24101,0.00536,0.06662,0.04822,-0.00246,-0.07696,-0.00057,0.00683,0.97403,0.18698,0.17026,-0.01100,-0.14603,2.34466,-0.49572,0.07660,2.77503,-0.40771,-0.14286,0.00000,A,120940.70
0.21145,57.67097783,11.99832483,57.67097750,11.99832917,12:09:40.886625,0.01402,1.24101,1.24101,0.00566,0.06620,0.04780,0.00749,-0.07199,-0.00965,0.00474,0.94448,0.19684,0.17026,-0.01092,-0.14603,2.34635,-0.49568,0.19544,2.90387,-0.42625,-0.14286,0.00000,A,120940.80
0.22249,57.67097783,11.99832483,57.67097750,11.99832917,12:09:40.897668,0.00972,1.24101,1.24101,0.00595,0.06541,0.04561,0.01652,-0.06751,-0.04025,0.00130,0.91367,0.21228,0.17190,-0.01664,-0.14603,2.71630,-0.56005,0.19544,2.90387,-0.42625,-0.14286,0.00000,A,120940.80
