Script started on Thu 03 Nov 2016 06:17:46 PM CET
P8_38 pinmux file not found!
sudo: no askpass program specified, try setting SUDO_ASKPASS
Cannot write pinmux file: /sys/devices/platform/ocp/ocp*P8_38_pinmux/state
P8_37 pinmux file not found!
sudo: no askpass program specified, try setting SUDO_ASKPASS
Cannot write pinmux file: /sys/devices/platform/ocp/ocp*P8_37_pinmux/state
Pin configuration complete
(chalmersbike) ]0;debian@beaglebone: ~/chalmersbike[01;32mdebian@beaglebone[00m:[01;34m~/chalmersbike[00m$ python testing/steering_motor/SteeringMotorTestLukas.py 
Input a velocity between 0 and 10 deg/s 2
tdelta = 0.000000
Enter the desired self.angle! The test will start afterwards! -10
Time=0.000376,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.011554,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.026061,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.039792,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.053611,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.068070,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.079631,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.092343,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.106050,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.120848,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.136097,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.153425,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.175121,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.195899,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.206098,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.215921,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.226123,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.236114,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.242252,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.253341,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.261428,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.271643,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.280229,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.288974,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.298436,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.307789,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.316900,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.326162,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.335876,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.343421,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.353585,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.361814,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.371303,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.379920,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.387535,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.402450,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.417196,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.432706,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.441904,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.451902,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.460937,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.469873,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.477601,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.488294,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.497669,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.508250,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.518038,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.527835,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.538454,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.546700,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.556099,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.564782,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.573588,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.583315,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.591357,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.599631,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.608470,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.619044,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.628282,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.637463,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.646494,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.654062,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.663537,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.672181,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.681605,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.690150,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.697879,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.708207,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.717725,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.727389,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.737256,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.747661,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.755097,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.764963,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.774389,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.785348,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.793674,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.802522,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.812543,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.821492,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.830730,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.840247,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.849183,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.857304,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.867469,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.876550,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.888129,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.896150,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.905534,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.915602,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.924789,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.933553,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.943050,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.952798,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.960831,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.969577,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
