Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,status,NMEA timestamp
0.04876,57.68797190,11.98131193,57.68797200,11.98130983,11:29:26.111070,0.04876,0.04870,0.00000,0.00151,0.06210,-0.00129,0.00511,-0.03849,0.08131,1.00162,0.00001,0.00000,0.00000,0.01574,0.12482,-0.01112,0.01467,1.24818,-0.11119,A,112926.00
0.05892,57.68797181,11.98131382,57.68797200,11.98130983,11:29:26.121142,0.05892,0.00497,0.00000,0.00578,0.06149,0.01307,-0.00757,-0.02556,0.09235,1.03944,0.05407,0.00000,-0.00016,0.01591,0.23715,-0.02113,0.01467,1.24818,-0.11119,A,112926.00
0.06869,57.68797173,11.98131552,57.68797200,11.98130983,11:29:26.130901,0.06869,0.00434,0.00000,0.00705,0.05722,0.00070,-0.00329,0.03898,0.07540,1.01955,0.06419,0.00000,-0.00032,0.01575,0.33826,-0.03013,0.01467,1.24818,-0.11119,A,112926.00
0.07936,57.68797166,11.98131706,57.68797200,11.98130983,11:29:26.141584,0.07936,0.00454,0.00000,0.00828,0.05416,-0.01137,-0.00222,0.04843,0.07253,0.98643,0.07457,0.00000,-0.00047,0.01559,0.42925,-0.03824,0.01467,1.24818,-0.11119,A,112926.00
0.08979,57.68797159,11.98131843,57.68797200,11.98130983,11:29:26.152016,0.08979,0.00456,0.00000,0.00961,0.05172,-0.02358,-0.00039,-0.00104,0.08015,0.96929,0.08503,0.00000,-0.00063,0.01544,0.51114,-0.04554,0.01467,1.24818,-0.11119,A,112926.00
0.10017,57.68797153,11.98131967,57.68797200,11.98130983,11:29:26.162399,0.10017,0.00456,0.00000,0.01116,0.04912,-0.01457,-0.00100,-0.05661,0.09528,0.95502,0.09564,0.00000,-0.00078,0.01528,0.58484,-0.05210,0.01467,1.24818,-0.11119,A,112926.00
0.11045,57.68797148,11.98132079,57.68797200,11.98130983,11:29:26.172681,0.11045,0.00461,0.00000,0.01286,0.04928,-0.01030,-0.00054,-0.04892,0.10596,0.92976,0.10551,0.00000,-0.00094,0.01513,0.65118,-0.05801,0.01467,1.24818,-0.11119,A,112926.00
0.13369,57.68797145,11.98132179,57.68797217,11.98130983,11:29:26.195919,0.13369,0.01745,0.00000,0.01456,0.04637,-0.00022,-0.00253,-0.01000,0.10474,0.90542,0.11615,0.00000,-0.00109,0.01498,0.71088,-0.06148,0.13084,1.24818,-0.09266,A,112926.10
0.14476,57.68797142,11.98132270,57.68797217,11.98130983,11:29:26.206981,0.14476,0.00552,0.00000,0.01658,0.04439,-0.00602,-0.01062,-0.02050,0.09864,0.98491,0.14022,0.00000,-0.00124,0.01483,0.76461,-0.06459,0.13084,1.24818,-0.09266,A,112926.10
0.15420,57.68797139,11.98132351,57.68797217,11.98130983,11:29:26.216416,0.15420,0.00442,0.00000,0.01774,0.04576,-0.00327,-0.01062,-0.04978,0.09193,1.04847,0.14942,0.00000,-0.00139,0.01468,0.81296,-0.06740,0.13084,1.24818,-0.09266,A,112926.10
0.16450,57.68797137,11.98132424,57.68797217,11.98130983,11:29:26.226723,0.16450,0.00434,0.00000,0.01868,0.05035,0.00894,-0.01169,-0.03013,0.07296,1.09525,0.15998,0.00000,-0.00153,0.01453,0.85649,-0.06993,0.13084,1.24818,-0.09266,A,112926.10
0.17612,57.68797135,11.98132490,57.68797217,11.98130983,11:29:26.238355,0.17612,0.00556,0.00000,0.01937,0.03828,0.01062,-0.01032,0.05112,0.06509,1.08055,0.17020,0.00000,-0.00168,0.01439,0.89565,-0.07220,0.13084,1.24818,-0.09266,A,112926.10
0.18529,57.68797133,11.98132550,57.68797217,11.98130983,11:29:26.247753,0.18529,0.00433,0.00000,0.02022,0.03721,-0.00266,-0.01108,0.07503,0.07363,1.03255,0.18079,0.00000,-0.00182,0.01424,0.93091,-0.07425,0.13084,1.24818,-0.09266,A,112926.10
0.19591,57.68797132,11.98132603,57.68797217,11.98130983,11:29:26.258132,0.19591,0.00456,0.00000,0.02168,0.03599,-0.01396,-0.00405,0.02464,0.11297,0.98765,0.19117,0.00000,-0.00196,0.01410,0.96263,-0.07609,0.13084,1.24818,-0.09266,A,112926.10
0.20620,57.68797130,11.98132651,57.68797217,11.98130983,11:29:26.268424,0.20620,0.00446,0.00000,0.02345,0.04149,-0.01198,-0.00405,-0.03282,0.12645,0.94337,0.20143,0.00000,-0.00211,0.01396,0.99119,-0.07775,0.13084,1.24818,-0.09266,A,112926.10
0.21663,57.68797129,11.98132694,57.68797217,11.98130983,11:29:26.278850,0.21663,0.00449,0.00000,0.02494,0.04760,-0.01060,0.00083,-0.03453,0.10114,0.91311,0.21211,0.00000,-0.00225,0.01382,1.01689,-0.07924,0.13084,1.24818,-0.09266,A,112926.10
0.22799,57.68797128,11.98132733,57.68797217,11.98130983,11:29:26.290224,0.22799,0.00546,0.00000,0.02613,0.04378,-0.00831,0.00007,0.00323,0.08418,0.90884,0.22343,0.00000,-0.00238,0.01368,1.04002,-0.08058,0.13084,1.24818,-0.09266,A,112926.10
0.24882,57.68797131,11.98132763,57.68797267,11.98130933,11:29:26.311040,0.24882,0.01589,0.00000,0.02707,0.04286,-0.01549,-0.00176,0.02464,0.07869,0.93733,0.23275,0.00000,-0.00252,0.01355,1.05786,-0.07623,0.24615,1.21846,-0.03706,A,112926.20
0.25928,57.68797135,11.98132790,57.68797267,11.98130933,11:29:26.321499,0.25928,0.00452,0.00000,0.02869,0.04317,-0.00434,0.00221,-0.06466,0.10114,1.06506,0.25449,0.00000,-0.00266,0.01341,1.07392,-0.07231,0.24615,1.21846,-0.03706,A,112926.20
0.27059,57.68797138,11.98132814,57.68797267,11.98130933,11:29:26.332846,0.27059,0.00544,0.00000,0.02986,0.04088,0.00726,-0.00268,-0.05624,0.10913,1.09098,0.26495,0.00000,-0.00279,0.01328,1.08837,-0.06879,0.24615,1.21846,-0.03706,A,112926.20
0.27989,57.68797141,11.98132836,57.68797267,11.98130933,11:29:26.342103,0.27989,0.00434,0.00000,0.03074,0.04790,0.01001,-0.00803,0.02050,0.08101,1.05127,0.27538,0.00000,-0.00292,0.01314,1.10138,-0.06562,0.24615,1.21846,-0.03706,A,112926.20
