Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,status,NMEA timestamp
0.05087,0.00000000,0.00000000,57.68799,11.98128,14:49:30.905141,0.05083,0.00000,-0.00045,0.08485,-0.02383,0.01411,0.00656,0.01074,0.00628,0.98576,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.01827,-0.31700,-2.00151,A,144930.80
0.06167,0.00000000,0.00000000,57.68799,11.98128,14:49:30.915856,0.00407,0.00000,-0.00202,0.08157,-0.02215,0.00983,0.00610,0.01415,-0.00061,0.98527,0.05729,0.00000,0.00000,0.00000,0.00000,0.00000,0.01827,-0.31700,-2.00151,A,144930.80
0.07113,0.00000000,0.00000000,57.68799,11.98128,14:49:30.925288,0.00313,0.00000,-0.00259,0.08103,-0.02322,0.00846,0.00640,0.01732,-0.00342,0.99033,0.06746,0.00000,0.00000,0.00000,0.00000,0.00000,0.01827,-0.31700,-2.00151,A,144930.80
0.08130,0.00000000,0.00000000,57.68799,11.98128,14:49:30.935683,0.00290,0.00000,-0.00308,0.08046,-0.02139,0.00663,0.00472,0.01726,0.00018,1.00022,0.07762,0.00000,0.00000,0.00000,0.00000,0.00000,0.01827,-0.31700,-2.00151,A,144930.80
0.09190,0.00000000,0.00000000,57.68799,11.98128,14:49:30.946047,0.00311,0.00000,-0.00363,0.07993,-0.02077,0.00724,0.00503,0.02062,-0.00403,0.99930,0.08821,0.00000,0.00000,0.00000,0.00000,0.00000,0.01827,-0.31700,-2.00151,A,144930.80
0.10287,0.00000000,0.00000000,57.68799,11.98128,14:49:30.957042,0.00369,0.00000,-0.00426,0.07939,-0.02077,0.00220,0.00213,0.02519,-0.00958,0.99326,0.09918,0.00000,0.00000,0.00000,0.00000,0.00000,0.01827,-0.31700,-2.00151,A,144930.80
0.11307,0.00000000,0.00000000,57.68799,11.98128,14:49:30.967435,0.00302,0.00000,-0.00484,0.07888,-0.02047,0.00067,0.00595,0.01360,-0.00823,0.99296,0.10938,0.00000,0.00000,0.00000,0.00000,0.00000,0.01827,-0.31700,-2.00151,A,144930.80
0.13774,0.00000000,0.00000000,57.68799,11.98128,14:49:30.991926,0.01730,0.00000,-0.00537,0.07837,-0.02337,-0.00345,0.01068,0.00293,-0.00323,0.98777,0.11994,0.00000,0.00000,0.00000,0.00000,0.00000,0.13643,-0.31700,-2.00151,A,144930.90
0.15157,0.00000000,0.00000000,57.68799,11.98128,14:49:31.005764,0.00747,0.00000,-0.00608,0.07721,-0.02077,-0.00559,0.01053,-0.00329,0.00616,0.99717,0.14746,0.00000,0.00000,0.00000,0.00000,0.00000,0.13643,-0.31700,-2.00151,A,144930.90
0.15762,0.00000000,0.00000000,57.68799,11.98128,14:49:31.011791,0.00313,0.00000,-0.00637,0.07676,-0.02322,-0.00360,0.01037,-0.01751,0.00488,1.01162,0.15373,0.00000,0.00000,0.00000,0.00000,0.00000,0.13643,-0.31700,-2.00151,A,144930.90
0.16804,0.00000000,0.00000000,57.68799,11.98128,14:49:31.022192,0.00315,0.00000,-0.00683,0.07619,-0.02093,0.00174,0.00701,-0.00714,-0.00116,1.01803,0.16436,0.00000,0.00000,0.00000,0.00000,0.00000,0.13643,-0.31700,-2.00151,A,144930.90
0.17839,0.00000000,0.00000000,57.68799,11.98128,14:49:31.032557,0.00311,0.00000,-0.00740,0.07565,-0.02444,0.00632,0.00320,0.01677,-0.00762,1.00985,0.17470,0.00000,0.00000,0.00000,0.00000,0.00000,0.13643,-0.31700,-2.00151,A,144930.90
0.18929,0.00000000,0.00000000,57.68799,11.98128,14:49:31.043802,0.00336,0.00000,-0.00804,0.07512,-0.02612,0.00281,0.00824,0.02477,-0.00988,0.99540,0.18557,0.00000,0.00000,0.00000,0.00000,0.00000,0.13643,-0.31700,-2.00151,A,144930.90
0.20061,0.00000000,0.00000000,57.68799,11.98128,14:49:31.054796,0.00406,0.00000,-0.00858,0.07463,-0.02994,0.00144,0.00549,-0.00396,-0.00281,0.99942,0.19603,0.00000,0.00000,0.00000,0.00000,0.00000,0.13643,-0.31700,-2.00151,A,144930.90
0.21023,0.00000000,0.00000000,57.68799,11.98128,14:49:31.064400,0.00329,0.00000,-0.00905,0.07432,-0.02612,0.00434,0.00533,-0.00683,-0.00079,1.00101,0.20653,0.00000,0.00000,0.00000,0.00000,0.00000,0.13643,-0.31700,-2.00151,A,144930.90
