Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,status,NMEA timestamp
0.04317,57.68784433,11.98134417,57.68784433,11.98134417,15:00:27.435527,0.04312,0.00000,-0.00121,-0.07356,-0.05788,-0.00229,-0.01241,0.00939,-0.02153,1.00723,0.00001,0.00000,0.02187,0.00000,0.00000,0.00000,0.01556,0.00000,0.00000,-2.41707,A,150027.30
0.05382,57.68784433,11.98134417,57.68784433,11.98134417,15:00:27.446125,0.00572,0.00000,-0.00459,-0.07274,-0.05788,-0.00015,-0.00646,0.01970,-0.02483,0.97545,0.04739,0.00000,-0.34073,-0.36235,0.00000,0.00000,0.01556,0.00000,0.00000,-2.41707,A,150027.30
0.06168,57.68784433,11.98134417,57.68784433,11.98134417,15:00:27.453979,0.00318,0.00000,-0.00586,-0.07274,-0.06139,-0.00259,-0.00844,0.00250,-0.02593,1.00070,0.05790,0.00000,-0.34073,-0.36235,0.00000,0.00000,0.01556,0.00000,0.00000,-2.41707,A,150027.30
0.07215,57.68784433,11.98134417,57.68784433,11.98134417,15:00:27.464455,0.00325,0.00000,-0.00713,-0.07274,-0.06215,-0.00473,-0.00982,-0.01501,-0.02782,1.01925,0.06837,0.00000,-0.34073,-0.36235,0.00000,0.00000,0.01556,0.00000,0.00000,-2.41707,A,150027.30
0.08242,57.68784433,11.98134417,57.68784433,11.98134417,15:00:27.474725,0.00301,0.00000,-0.00834,-0.07274,-0.05864,0.00123,-0.01226,-0.00116,-0.02763,1.03047,0.07864,0.00000,-0.34073,-0.36235,0.00000,0.00000,0.01556,0.00000,0.00000,-2.41707,A,150027.30
0.09462,57.68784433,11.98134417,57.68784433,11.98134417,15:00:27.487672,0.00481,0.00000,-0.01001,-0.07268,-0.06124,0.00291,-0.01241,0.01372,-0.05191,1.01516,0.09047,0.00000,-0.34073,-0.36235,0.00000,0.00000,0.01556,0.00000,0.00000,-2.41707,A,150027.30
0.10357,57.68784433,11.98134417,57.68784433,11.98134417,15:00:27.495870,0.00337,0.00000,-0.01131,-0.07257,-0.05956,0.00367,-0.01257,0.01519,-0.04014,0.99723,0.09957,0.00000,-0.34073,-0.36235,0.00000,0.00000,0.01556,0.00000,0.00000,-2.41707,A,150027.30
0.11373,57.68784433,11.98134417,57.68784433,11.98134417,15:00:27.506026,0.00313,0.00000,-0.01270,-0.07240,-0.06429,0.00062,-0.00722,0.01074,-0.03819,0.97307,0.10996,0.00000,-0.34073,-0.36235,0.00000,0.00000,0.01556,0.00000,0.00000,-2.41707,A,150027.30
0.13710,57.68784433,11.98134417,57.68784450,11.98134367,15:00:27.529411,0.01610,0.00000,-0.01397,-0.07223,-0.06230,-0.00137,-0.00600,0.00049,-0.03300,0.97179,0.12036,0.00000,-0.34073,-0.36235,0.00000,0.00000,0.13584,-0.02972,0.01853,-2.44413,A,150027.40
0.14998,57.68784434,11.98134414,57.68784450,11.98134367,15:00:27.542285,0.00688,0.00000,-0.01597,-0.07197,-0.05742,0.00917,-0.00982,0.00378,-0.03660,1.01778,0.14419,0.00000,-0.65303,-0.67442,-0.00149,0.00093,0.13584,-0.02972,0.01853,-2.44413,A,150027.40
0.15674,57.68784434,11.98134414,57.68784450,11.98134367,15:00:27.549040,0.00324,0.00000,-0.01715,-0.07195,-0.05696,0.01131,-0.00798,0.03605,-0.04166,1.02029,0.15296,0.00000,-0.65303,-0.67442,-0.00149,0.00093,0.13584,-0.02972,0.01853,-2.44413,A,150027.40
0.16673,57.68784434,11.98134414,57.68784450,11.98134367,15:00:27.559227,0.00301,0.00000,-0.01845,-0.07195,-0.05772,-0.00076,-0.00982,0.02928,-0.04618,1.02864,0.16295,0.00000,-0.65303,-0.67442,-0.00149,0.00093,0.13584,-0.02972,0.01853,-2.44413,A,150027.40
0.17727,57.68784434,11.98134414,57.68784450,11.98134367,15:00:27.569568,0.00315,0.00000,-0.01962,-0.07195,-0.05925,-0.00442,-0.00722,-0.02245,-0.03489,1.01571,0.17350,0.00000,-0.65303,-0.67442,-0.00149,0.00093,0.13584,-0.02972,0.01853,-2.44413,A,150027.40
0.18767,57.68784434,11.98134414,57.68784450,11.98134367,15:00:27.579970,0.00316,0.00000,-0.02065,-0.07195,-0.05574,0.00397,-0.00905,-0.04288,-0.02940,0.99692,0.18388,0.00000,-0.65303,-0.67442,-0.00149,0.00093,0.13584,-0.02972,0.01853,-2.44413,A,150027.40
0.19809,57.68784434,11.98134414,57.68784450,11.98134367,15:00:27.590378,0.00298,0.00000,-0.02178,-0.07195,-0.05956,0.01222,-0.01165,-0.04191,-0.03331,0.97405,0.19431,0.00000,-0.65303,-0.67442,-0.00149,0.00093,0.13584,-0.02972,0.01853,-2.44413,A,150027.40
0.20866,57.68784434,11.98134414,57.68784450,11.98134367,15:00:27.600961,0.00315,0.00000,-0.02320,-0.07195,-0.05635,0.02429,-0.01180,0.00311,-0.05435,0.96130,0.20489,0.00000,-0.65303,-0.67442,-0.00149,0.00093,0.13584,-0.02972,0.01853,-2.44413,A,150027.40
0.21872,57.68784434,11.98134414,57.68784450,11.98134367,15:00:27.611217,0.00298,0.00000,-0.02443,-0.07195,-0.05818,0.01833,-0.01516,0.01104,-0.04465,0.97216,0.21495,0.00000,-0.65303,-0.67442,-0.00149,0.00093,0.13584,-0.02972,0.01853,-2.44413,A,150027.40
0.22929,57.68784434,11.98134414,57.68784450,11.98134367,15:00:27.621591,0.00316,0.00000,-0.02557,-0.07195,-0.06368,0.01619,-0.01119,0.02489,-0.03447,0.98771,0.22552,0.00000,-0.65303,-0.67442,-0.00149,0.00093,0.13584,-0.02972,0.01853,-2.44413,A,150027.40
0.25286,57.68784434,11.98134414,57.68784483,11.98134300,15:00:27.645164,0.01633,0.00000,-0.02644,-0.07195,-0.05864,0.00963,-0.01073,0.00854,-0.02318,1.01595,0.23590,0.00000,-0.65303,-0.67442,-0.00149,0.00093,0.25158,-0.06934,0.05560,-2.46076,A,150027.50
0.26398,57.68784437,11.98134408,57.68784483,11.98134300,15:00:27.656288,0.00554,0.00000,-0.02805,-0.07195,-0.05589,0.00703,-0.00753,0.00140,-0.03398,1.06902,0.25793,0.00000,-0.92098,-0.94237,-0.00488,0.00366,0.25158,-0.06934,0.05560,-2.46076,A,150027.50
0.27211,57.68784437,11.98134408,57.68784483,11.98134300,15:00:27.664407,0.00327,0.00000,-0.02923,-0.07192,-0.05207,0.01115,-0.00844,0.06051,-0.05081,1.01175,0.26831,0.00000,-0.92098,-0.94237,-0.00488,0.00366,0.25158,-0.06934,0.05560,-2.46076,A,150027.50
0.28242,57.68784437,11.98134408,57.68784483,11.98134300,15:00:27.674725,0.00309,0.00000,-0.03068,-0.07183,-0.04551,0.00000,-0.00371,0.04185,-0.07094,0.95752,0.27865,0.00000,-0.92098,-0.94237,-0.00488,0.00366,0.25158,-0.06934,0.05560,-2.46076,A,150027.50
0.29303,57.68784437,11.98134408,57.68784483,11.98134300,15:00:27.685326,0.00330,0.00000,-0.03192,-0.07163,-0.05360,-0.00488,-0.00081,-0.02056,-0.05106,0.92372,0.28925,0.00000,-0.92098,-0.94237,-0.00488,0.00366,0.25158,-0.06934,0.05560,-2.46076,A,150027.50
0.30457,57.68784437,11.98134408,57.68784483,11.98134300,15:00:27.696874,0.00408,0.00000,-0.03345,-0.07129,-0.05116,-0.00168,-0.00462,-0.02312,-0.06814,0.92104,0.30076,0.00000,-0.92098,-0.94237,-0.00488,0.00366,0.25158,-0.06934,0.05560,-2.46076,A,150027.50
0.31402,57.68784437,11.98134408,57.68784483,11.98134300,15:00:27.706318,0.00296,0.00000,-0.03436,-0.07090,-0.05421,0.00123,-0.00493,-0.04453,-0.03806,0.95453,0.31025,0.00000,-0.92098,-0.94237,-0.00488,0.00366,0.25158,-0.06934,0.05560,-2.46076,A,150027.50
0.32463,57.68784437,11.98134408,57.68784483,11.98134300,15:00:27.716925,0.00318,0.00000,-0.03536,-0.07050,-0.04932,0.01207,-0.01043,-0.00677,-0.04526,1.00314,0.32086,0.00000,-0.92098,-0.94237,-0.00488,0.00366,0.25158,-0.06934,0.05560,-2.46076,A,150027.50
0.33469,57.68784437,11.98134408,57.68784483,11.98134300,15:00:27.727332,0.00300,0.00000,-0.03586,-0.07008,-0.04627,0.01115,-0.01027,0.03209,-0.01842,1.04426,0.33090,0.00000,-0.92098,-0.94237,-0.00488,0.00366,0.25158,-0.06934,0.05560,-2.46076,A,150027.50
0.34523,57.68784437,11.98134408,57.68784483,11.98134300,15:00:27.737522,0.00314,0.00000,-0.03687,-0.06971,-0.04596,0.00978,-0.01302,0.03477,-0.05466,1.09044,0.34146,0.00000,-0.92098,-0.94237,-0.00488,0.00366,0.25158,-0.06934,0.05560,-2.46076,A,150027.50
0.38073,57.68784437,11.98134408,57.68784583,11.98134200,15:00:27.773036,0.02825,0.00000,-0.03804,-0.06937,-0.04291,0.01069,-0.01455,0.01574,-0.06960,1.07451,0.35184,0.00000,-0.92098,-0.94237,-0.00488,0.00366,0.37943,-0.12878,0.16679,-2.51883,A,150027.70
0.39667,57.68784444,11.98134398,57.68784583,11.98134200,15:00:27.788988,0.00708,0.00000,-0.03964,-0.06883,-0.03283,0.01039,-0.00875,0.00567,-0.03758,0.94263,0.39061,0.00000,-1.15759,-1.17805,-0.01107,0.01182,0.37943,-0.12878,0.16679,-2.51883,A,150027.70
0.40335,57.68784444,11.98134398,57.68784583,11.98134200,15:00:27.795664,0.00335,0.00000,-0.04045,-0.06883,-0.02168,0.01146,-0.00722,0.01232,-0.05667,0.93720,0.39917,0.00000,-1.15759,-1.17805,-0.01107,0.01182,0.37943,-0.12878,0.16679,-2.51883,A,150027.70
0.41357,57.68784444,11.98134398,57.68784583,11.98134200,15:00:27.805869,0.00318,0.00000,-0.04126,-0.06883,-0.02245,0.01192,-0.00478,-0.00360,-0.05600,0.96069,0.40979,0.00000,-1.15759,-1.17805,-0.01107,0.01182,0.37943,-0.12878,0.16679,-2.51883,A,150027.70
0.42396,57.68784444,11.98134398,57.68784583,11.98134200,15:00:27.816271,0.00317,0.00000,-0.04227,-0.06883,-0.01909,0.01787,-0.00829,-0.01623,-0.07436,0.99875,0.42016,0.00000,-1.15759,-1.17805,-0.01107,0.01182,0.37943,-0.12878,0.16679,-2.51883,A,150027.70
0.43437,57.68784444,11.98134398,57.68784583,11.98134200,15:00:27.826673,0.00299,0.00000,-0.04329,-0.06883,-0.02367,0.01741,-0.00890,0.02696,-0.07418,1.01321,0.43060,0.00000,-1.15759,-1.17805,-0.01107,0.01182,0.37943,-0.12878,0.16679,-2.51883,A,150027.70
0.44494,57.68784444,11.98134398,57.68784583,11.98134200,15:00:27.837239,0.00316,0.00000,-0.04405,-0.06883,-0.02153,0.00672,-0.01241,0.07668,-0.05819,1.00430,0.44117,0.00000,-1.15759,-1.17805,-0.01107,0.01182,0.37943,-0.12878,0.16679,-2.51883,A,150027.70
0.45533,57.68784444,11.98134398,57.68784583,11.98134200,15:00:27.847634,0.00315,0.00000,-0.04422,-0.06883,-0.02122,-0.00504,-0.01379,0.06442,-0.02037,1.00449,0.45133,0.00000,-1.15759,-1.17805,-0.01107,0.01182,0.37943,-0.12878,0.16679,-2.51883,A,150027.70
0.46572,57.68784444,11.98134398,57.68784583,11.98134200,15:00:27.858012,0.00315,0.00000,-0.04458,-0.06883,-0.00870,-0.01145,-0.01409,-0.00506,-0.04246,1.04042,0.46195,0.00000,-1.15759,-1.17805,-0.01107,0.01182,0.37943,-0.12878,0.16679,-2.51883,A,150027.70
0.47611,57.68784444,11.98134398,57.68784583,11.98134200,15:00:27.868409,0.00314,0.00000,-0.04521,-0.06883,-0.00045,0.00016,-0.01318,-0.02666,-0.06686,1.02212,0.47233,0.00000,-1.15759,-1.17805,-0.01107,0.01182,0.37943,-0.12878,0.16679,-2.51883,A,150027.70
0.49921,57.68784444,11.98134398,57.68784617,11.98134133,15:00:27.891524,0.01587,0.00000,-0.04621,-0.06880,-0.00610,0.00565,-0.01348,0.02440,-0.08589,0.98362,0.48254,0.00000,-1.15759,-1.17805,-0.01107,0.01182,0.49783,-0.16841,0.20386,-2.46076,A,150027.80
0.51674,57.68784453,11.98134385,57.68784617,11.98134133,15:00:27.909046,0.00775,0.00000,-0.04622,-0.06852,-0.00381,-0.00595,-0.01027,-0.02495,-0.01909,1.01510,0.51069,0.00000,-1.35001,-1.37038,-0.01894,0.02142,0.49783,-0.16841,0.20386,-2.46076,A,150027.80
0.52232,57.68784453,11.98134385,57.68784617,11.98134133,15:00:27.914623,0.00299,0.00000,-0.04633,-0.06835,0.00336,-0.00076,-0.00462,-0.05350,-0.03575,1.04005,0.51854,0.00000,-1.35001,-1.37038,-0.01894,0.02142,0.49783,-0.16841,0.20386,-2.46076,A,150027.80
0.53431,57.68784453,11.98134385,57.68784617,11.98134133,15:00:27.926680,0.00459,0.00000,-0.04670,-0.06812,0.01008,0.01604,-0.00753,-0.00220,-0.05789,1.01736,0.52911,0.00000,-1.35001,-1.37038,-0.01894,0.02142,0.49783,-0.16841,0.20386,-2.46076,A,150027.80
0.54502,57.68784453,11.98134385,57.68784617,11.98134133,15:00:27.937330,0.00370,0.00000,-0.04722,-0.06778,0.01161,0.01558,-0.00753,0.05441,-0.06917,0.99180,0.54124,0.00000,-1.35001,-1.37038,-0.01894,0.02142,0.49783,-0.16841,0.20386,-2.46076,A,150027.80
0.55664,57.68784453,11.98134385,57.68784617,11.98134133,15:00:27.948948,0.00509,0.00000,-0.04774,-0.06747,0.00657,0.00291,-0.00707,0.04453,-0.06515,0.98796,0.55279,0.00000,-1.35001,-1.37038,-0.01894,0.02142,0.49783,-0.16841,0.20386,-2.46076,A,150027.80
0.56512,57.68784453,11.98134385,57.68784617,11.98134133,15:00:27.957421,0.00318,0.00000,-0.04777,-0.06711,0.00871,-0.00610,-0.00249,-0.00238,-0.03331,0.99216,0.56135,0.00000,-1.35001,-1.37038,-0.01894,0.02142,0.49783,-0.16841,0.20386,-2.46076,A,150027.80
0.57716,57.68784453,11.98134385,57.68784617,11.98134133,15:00:27.969467,0.00497,0.00000,-0.04763,-0.06665,0.01665,0.00245,-0.00783,-0.01257,-0.03013,0.98430,0.57337,0.00000,-1.35001,-1.37038,-0.01894,0.02142,0.49783,-0.16841,0.20386,-2.46076,A,150027.80
0.58575,57.68784453,11.98134385,57.68784617,11.98134133,15:00:27.978053,0.00317,0.00000,-0.04784,-0.06631,0.02154,0.00749,-0.00340,-0.00512,-0.05215,0.99729,0.58198,0.00000,-1.35001,-1.37038,-0.01894,0.02142,0.49783,-0.16841,0.20386,-2.46076,A,150027.80
