Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.05482,57.68785467,11.98138650,57.68785467,11.98138650,10:58:45.305380,0.05478,0.00000,-0.00129,0.03323,-0.04077,0.00051,-0.00459,0.00720,-0.03788,0.98338,0.00001,0.00000,-0.00987,0.00000,0.00000,0.00000,0.02534,0.00000,0.00000,0.00000,0.00000,A,105845.20
0.06662,57.68785467,11.98138650,57.68785467,11.98138650,10:58:45.317158,0.00569,0.00000,-0.00533,0.02935,-0.04795,-0.00544,-0.01131,0.00775,-0.05887,1.01028,0.06076,0.00000,-0.00969,-0.00098,0.00000,0.00000,0.02534,0.00000,0.00000,0.00000,0.00000,A,105845.20
0.07447,57.68785467,11.98138650,57.68785467,11.98138650,10:58:45.324993,0.00315,0.00000,-0.00666,0.02881,-0.04184,-0.00941,-0.01009,0.00445,-0.04410,0.99314,0.07098,0.00000,-0.00969,-0.00098,0.00000,0.00000,0.02534,0.00000,0.00000,0.00000,0.00000,A,105845.20
0.08509,57.68785467,11.98138650,57.68785467,11.98138650,10:58:45.335620,0.00316,0.00000,-0.00805,0.02839,-0.04551,-0.00407,-0.01162,-0.01019,-0.04551,0.96819,0.08161,0.00000,-0.00969,-0.00098,0.00000,0.00000,0.02534,0.00000,0.00000,0.00000,0.00000,A,105845.20
0.09729,57.68785467,11.98138650,57.68785467,11.98138650,10:58:45.347833,0.00513,0.00000,-0.00971,0.02802,-0.04429,0.00280,-0.01055,-0.02220,-0.06204,0.96874,0.09313,0.00000,-0.00969,-0.00098,0.00000,0.00000,0.02534,0.00000,0.00000,0.00000,0.00000,A,105845.20
0.10588,57.68785467,11.98138650,57.68785467,11.98138650,10:58:45.356409,0.00332,0.00000,-0.01126,0.02774,-0.03894,0.00769,-0.00826,-0.02196,-0.06631,0.96959,0.10239,0.00000,-0.00969,-0.00098,0.00000,0.00000,0.02534,0.00000,0.00000,0.00000,0.00000,A,105845.20
0.11610,57.68785467,11.98138650,57.68785467,11.98138650,10:58:45.366631,0.00315,0.00000,-0.01250,0.02743,-0.04108,0.00265,-0.00398,0.00354,-0.04508,0.98350,0.11241,0.00000,-0.00969,-0.00098,0.00000,0.00000,0.02534,0.00000,0.00000,0.00000,0.00000,A,105845.20
0.14301,57.68785467,11.98138650,57.68785517,11.98138600,10:58:45.393550,0.01966,0.00000,-0.01370,0.02709,-0.03665,0.00540,-0.00490,0.02227,-0.04593,0.99991,0.12301,0.00000,-0.00969,-0.00098,0.00000,0.00000,0.13835,-0.02972,0.05560,2.06169,2.06169,A,105845.30
0.16241,57.68785469,11.98138647,57.68785517,11.98138600,10:58:45.412963,0.00708,0.00000,-0.01569,0.02601,-0.03192,0.00800,-0.00979,0.00305,-0.05575,1.02382,0.15692,0.00000,0.29986,0.30758,-0.00149,0.00278,0.13835,-0.02972,0.05560,2.06169,2.06169,A,105845.30
0.16888,57.68785469,11.98138647,57.68785517,11.98138600,10:58:45.419426,0.00317,0.00000,-0.01693,0.02590,-0.02565,0.01090,-0.00643,0.00878,-0.06417,1.01046,0.16539,0.00000,0.29986,0.30758,-0.00149,0.00278,0.13835,-0.02972,0.05560,2.06169,2.06169,A,105845.30
