Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,FilteredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.06626,57.68778067,11.98134517,57.68778067,11.98134517,15:08:58.655413,0.06622,0.00000,0.00000,-0.00198,0.00000,-0.00227,-0.00366,0.00150,-0.05679,-0.09943,0.99820,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.02536,0.00000,0.00000,0.00000,0.00000,A,140821.20
0.08607,57.68778067,11.98134517,57.68778067,11.98134517,15:08:58.674531,0.00790,0.00000,0.00000,-0.00401,0.00000,-0.00135,-0.00351,0.00059,-0.06210,-0.09980,0.99985,0.07858,0.00000,0.00000,0.00000,0.00000,0.00000,0.02536,0.00000,0.00000,0.00000,0.00000,A,140821.20
0.09416,57.68778067,11.98134517,57.68778067,11.98134517,15:08:58.682617,0.00541,0.00000,0.00000,-0.00594,0.00000,-0.00257,0.00260,0.00013,-0.05667,-0.09949,0.99698,0.08842,0.00000,0.00000,0.00000,0.00000,0.00000,0.02536,0.00000,0.00000,0.00000,0.00000,A,140821.20
0.10623,57.68778067,11.98134517,57.68778067,11.98134517,15:08:58.694691,0.00709,0.00000,0.00000,-0.00783,0.00000,-0.00273,-0.00412,0.00074,-0.05972,-0.09937,0.99894,0.09876,0.00000,0.00000,0.00000,0.00000,0.00000,0.02536,0.00000,0.00000,0.00000,0.00000,A,140821.20
0.11530,57.68778067,11.98134517,57.68778067,11.98134517,15:08:58.703751,0.00570,0.00000,0.00000,-0.00964,0.00000,0.00017,0.00062,-0.00002,-0.06057,-0.09760,0.99692,0.10962,0.00000,0.00000,0.00000,0.00000,0.00000,0.02536,0.00000,0.00000,0.00000,0.00000,A,140821.20
0.14174,57.68778067,11.98134517,57.68778067,11.98134483,15:08:58.730204,0.02090,0.00000,0.00000,-0.01142,0.00000,0.00262,0.00276,0.00044,-0.06295,-0.09919,0.99887,0.12104,0.00000,0.00000,0.00000,0.00000,0.00000,0.13750,-0.01981,0.00000,3.14159,3.14159,A,140821.30
0.15405,57.68778067,11.98134515,57.68778067,11.98134483,15:08:58.742510,0.00718,0.00000,0.00000,-0.01328,0.00000,-0.00151,0.00062,0.00135,-0.06484,-0.10193,0.99704,0.14826,0.00000,0.47124,0.47124,-0.00099,0.00000,0.13750,-0.01981,0.00000,3.14159,3.14159,A,140821.30
0.16262,57.68778067,11.98134513,57.68778067,11.98134483,15:08:58.751077,0.00518,0.00000,0.00000,-0.01503,0.00000,-0.00013,-0.00152,0.00486,-0.06283,-0.09876,0.99674,0.15688,0.00000,0.87179,0.87179,-0.00193,0.00000,0.13750,-0.01981,0.00000,3.14159,3.14159,A,140821.30
0.17292,57.68778067,11.98134512,57.68778067,11.98134483,15:08:58.761371,0.00507,0.00000,0.00000,-0.01672,0.00000,0.00430,-0.00183,0.00410,-0.06076,-0.09925,0.99857,0.16750,0.00000,1.21226,1.21226,-0.00283,0.00000,0.13750,-0.01981,0.00000,3.14159,3.14159,A,140821.30
0.18325,57.68778067,11.98134510,57.68778067,11.98134483,15:08:58.771707,0.00518,0.00000,0.00000,-0.01838,0.00000,0.00231,-0.00213,0.00227,-0.05923,-0.09778,0.99717,0.17756,0.00000,1.50166,1.50166,-0.00368,0.00000,0.13750,-0.01981,0.00000,3.14159,3.14159,A,140821.30
0.19487,57.68778067,11.98134509,57.68778067,11.98134483,15:08:58.783337,0.00640,0.00000,0.00000,-0.01998,0.00000,0.00949,-0.00549,-0.00033,-0.06088,-0.10065,0.99729,0.18833,0.00000,1.74765,1.74765,-0.00448,0.00000,0.13750,-0.01981,0.00000,3.14159,3.14159,A,140821.30
0.20395,57.68778067,11.98134508,57.68778067,11.98134483,15:08:58.792403,0.00508,0.00000,0.00000,-0.02159,0.00000,0.00185,-0.00183,0.00196,-0.06344,-0.09772,0.99784,0.19852,0.00000,1.95674,1.95674,-0.00525,0.00000,0.13750,-0.01981,0.00000,3.14159,3.14159,A,140821.30
0.21480,57.68778067,11.98134507,57.68778067,11.98134483,15:08:58.803251,0.00535,0.00000,0.00000,-0.02319,0.00000,0.00491,-0.00030,0.00166,-0.06173,-0.10028,0.99589,0.20904,0.00000,2.13447,2.13447,-0.00598,0.00000,0.13750,-0.01981,0.00000,3.14159,3.14159,A,140821.30
0.22491,57.68778067,11.98134505,57.68778067,11.98134483,15:08:58.813357,0.00506,0.00000,0.00000,-0.02474,0.00000,0.00537,-0.00274,-0.00109,-0.06185,-0.09894,0.99790,0.21948,0.00000,2.28554,2.28554,-0.00667,0.00000,0.13750,-0.01981,0.00000,3.14159,3.14159,A,140821.30
0.23526,57.68778067,11.98134504,57.68778067,11.98134483,15:08:58.823712,0.00518,0.00000,0.00000,-0.02625,0.00000,0.00674,-0.00106,-0.00140,-0.05874,-0.09919,0.99674,0.22956,0.00000,2.41395,2.41395,-0.00733,0.00000,0.13750,-0.01981,0.00000,3.14159,3.14159,A,140821.30
0.25993,57.68778067,11.98134503,57.68778067,11.98134450,15:08:58.848382,0.01944,0.00000,0.00000,-0.02776,0.00000,0.00720,-0.00106,0.00395,-0.05844,-0.10083,0.99869,0.24016,0.00000,2.52309,2.52309,-0.00795,0.00000,0.25614,-0.03962,0.00000,3.14159,3.14159,A,140821.40
0.27818,57.68778067,11.98134501,57.68778067,11.98134450,15:08:58.866638,0.00769,0.00000,0.00000,-0.02912,0.00000,0.00567,-0.00183,0.00044,-0.06100,-0.09937,0.99802,0.27241,0.00000,2.61587,2.61587,-0.00953,0.00000,0.25614,-0.03962,0.00000,3.14159,3.14159,A,140821.40
0.28623,57.68778067,11.98134498,57.68778067,11.98134450,15:08:58.874685,0.00534,0.00000,0.00000,-0.03062,0.00000,0.00445,-0.00320,-0.00033,-0.06076,-0.10047,0.99729,0.28052,0.00000,2.69473,2.69473,-0.01104,0.00000,0.25614,-0.03962,0.00000,3.14159,3.14159,A,140821.40
0.29631,57.68778067,11.98134496,57.68778067,11.98134450,15:08:58.884760,0.00501,0.00000,0.00000,-0.03213,0.00000,-0.00227,-0.00183,-0.00018,-0.06240,-0.09864,0.99790,0.29088,0.00000,2.76176,2.76176,-0.01247,0.00000,0.25614,-0.03962,0.00000,3.14159,3.14159,A,140821.40
0.30728,57.68778067,11.98134493,57.68778067,11.98134450,15:08:58.895736,0.00549,0.00000,0.00000,-0.03352,0.00000,0.00751,-0.00381,-0.00048,-0.05929,-0.09888,0.99753,0.30139,0.00000,2.81873,2.81873,-0.01383,0.00000,0.25614,-0.03962,0.00000,3.14159,3.14159,A,140821.40
0.31743,57.68778067,11.98134491,57.68778067,11.98134450,15:08:58.905899,0.00540,0.00000,0.00000,-0.03494,0.00000,-0.00059,0.00138,-0.00002,-0.05844,-0.09675,0.99778,0.31174,0.00000,2.86716,2.86716,-0.01512,0.00000,0.25614,-0.03962,0.00000,3.14159,3.14159,A,140821.40
0.32864,57.68778067,11.98134489,57.68778067,11.98134450,15:08:58.917097,0.00606,0.00000,0.00000,-0.03634,0.00000,0.00201,-0.00076,-0.00155,-0.05868,-0.09900,0.99936,0.32199,0.00000,2.90833,2.90833,-0.01634,0.00000,0.25614,-0.03962,0.00000,3.14159,3.14159,A,140821.40
0.33834,57.68778067,11.98134487,57.68778067,11.98134450,15:08:58.926792,0.00535,0.00000,0.00000,-0.03773,0.00000,0.00277,0.00291,0.00059,-0.06130,-0.09961,0.99668,0.33262,0.00000,2.94332,2.94332,-0.01751,0.00000,0.25614,-0.03962,0.00000,3.14159,3.14159,A,140821.40
0.34832,57.68778067,11.98134485,57.68778067,11.98134450,15:08:58.936773,0.00493,0.00000,0.00000,-0.03910,0.00000,0.00048,-0.00030,-0.00140,-0.05899,-0.09851,0.99741,0.34289,0.00000,2.97306,2.97306,-0.01861,0.00000,0.25614,-0.03962,0.00000,3.14159,3.14159,A,140821.40
0.37427,57.68778067,11.98134484,57.68778083,11.98134467,15:08:58.962747,0.02064,0.00000,0.00000,-0.04042,0.00000,0.00216,-0.00198,-0.00292,-0.05874,-0.09754,1.00003,0.35308,0.00000,2.99834,2.99834,-0.01966,0.00000,0.36945,-0.02972,0.01853,1.07991,1.07991,A,140821.50
0.38768,57.68778067,11.98134483,57.68778083,11.98134467,15:08:58.976156,0.00729,0.00000,0.00000,-0.04167,0.00000,0.00338,0.00230,-0.00201,-0.06051,-0.09900,0.99820,0.38196,0.00000,2.71057,2.71057,-0.02016,0.00093,0.36945,-0.02972,0.01853,1.07991,1.07991,A,140821.50
0.39586,57.68778068,11.98134482,57.68778083,11.98134467,15:08:58.984314,0.00506,0.00000,0.00000,-0.04300,0.00000,-0.00410,0.00184,-0.00048,-0.05954,-0.09729,0.99894,0.39042,0.00000,2.46597,2.46597,-0.02064,0.00181,0.36945,-0.02972,0.01853,1.07991,1.07991,A,140821.50
0.40657,57.68778069,11.98134481,57.68778083,11.98134467,15:08:58.995029,0.00520,0.00000,0.00000,-0.04426,0.00000,0.00140,0.00001,0.00120,-0.06100,-0.09693,1.00028,0.40082,0.00000,2.25806,2.25806,-0.02110,0.00264,0.36945,-0.02972,0.01853,1.07991,1.07991,A,140821.50
0.41682,57.68778070,11.98134480,57.68778083,11.98134467,15:08:59.005268,0.00505,0.00000,0.00000,-0.04555,0.00000,-0.00044,0.00016,0.00425,-0.06289,-0.09888,0.99784,0.41142,0.00000,2.08134,2.08134,-0.02153,0.00344,0.36945,-0.02972,0.01853,1.07991,1.07991,A,140821.50
0.42732,57.68778070,11.98134480,57.68778083,11.98134467,15:08:59.015767,0.00514,0.00000,0.00000,-0.04685,0.00000,-0.00364,-0.00198,0.00150,-0.06387,-0.09882,0.99759,0.42159,0.00000,1.93112,1.93112,-0.02194,0.00419,0.36945,-0.02972,0.01853,1.07991,1.07991,A,140821.50
0.43816,57.68778071,11.98134479,57.68778083,11.98134467,15:08:59.026615,0.00558,0.00000,0.00000,-0.04810,0.00000,-0.00196,-0.00091,-0.00018,-0.06271,-0.09760,0.99686,0.43242,0.00000,1.80344,1.80344,-0.02233,0.00491,0.36945,-0.02972,0.01853,1.07991,1.07991,A,140821.50
0.44804,57.68778072,11.98134478,57.68778083,11.98134467,15:08:59.036490,0.00506,0.00000,0.00000,-0.04939,0.00000,-0.00395,-0.00091,0.00028,-0.06478,-0.10035,0.99820,0.44261,0.00000,1.69491,1.69491,-0.02270,0.00559,0.36945,-0.02972,0.01853,1.07991,1.07991,A,140821.50
0.45869,57.68778072,11.98134478,57.68778083,11.98134467,15:08:59.047145,0.00517,0.00000,0.00000,-0.05066,0.00000,-0.00349,-0.00030,-0.00338,-0.06289,-0.10053,0.99698,0.45297,0.00000,1.60266,1.60266,-0.02305,0.00624,0.36945,-0.02972,0.01853,1.07991,1.07991,A,140821.50
0.46896,57.68778073,11.98134477,57.68778083,11.98134467,15:08:59.057415,0.00504,0.00000,0.00000,-0.05188,0.00000,-0.00670,0.00321,-0.00338,-0.06149,-0.09681,0.99894,0.46356,0.00000,1.52425,1.52425,-0.02338,0.00685,0.36945,-0.02972,0.01853,1.07991,1.07991,A,140821.50
0.49414,57.68778073,11.98134477,57.68778050,11.98134467,15:08:59.082596,0.01982,0.00000,0.00000,-0.05311,0.00000,-0.00914,0.00016,-0.00613,-0.06271,-0.09656,1.00046,0.47374,0.00000,1.45760,1.45760,-0.02370,0.00744,0.49069,-0.02972,-0.01853,-1.57080,-1.57080,A,140821.60
0.50417,57.68778072,11.98134476,57.68778050,11.98134467,15:08:59.092628,0.00512,0.00000,0.00000,-0.05447,0.00000,-0.00731,0.00291,-0.00094,-0.05929,-0.10096,0.99448,0.49871,0.00000,1.00334,1.00334,-0.02400,0.00614,0.49069,-0.02972,-0.01853,-1.57080,-1.57080,A,140821.60
0.51692,57.68778071,11.98134476,57.68778050,11.98134467,15:08:59.105378,0.00750,0.00000,0.00000,-0.05577,0.00000,-0.00670,0.00092,0.00013,-0.05588,-0.10407,0.99540,0.51063,0.00000,0.61722,0.61722,-0.02428,0.00490,0.49069,-0.02972,-0.01853,-1.57080,-1.57080,A,140821.60
0.52491,57.68778070,11.98134475,57.68778050,11.98134467,15:08:59.113366,0.00509,0.00000,0.00000,-0.05695,0.00000,-0.00532,0.00184,0.00395,-0.05893,-0.10035,0.99814,0.51948,0.00000,0.28902,0.28902,-0.02456,0.00373,0.49069,-0.02972,-0.01853,-1.57080,-1.57080,A,140821.60
0.53536,57.68778069,11.98134475,57.68778050,11.98134467,15:08:59.123815,0.00514,0.00000,0.00000,-0.05809,0.00000,-0.00761,-0.00091,-0.00002,-0.05777,-0.09681,0.99814,0.52965,0.00000,0.01004,0.01004,-0.02481,0.00262,0.49069,-0.02972,-0.01853,-1.57080,-1.57080,A,140821.60
0.54597,57.68778068,11.98134475,57.68778050,11.98134467,15:08:59.134426,0.00535,0.00000,0.00000,-0.05919,0.00000,-0.00609,0.00245,0.00273,-0.06271,-0.09650,1.00003,0.54028,0.00000,-0.22708,-0.22708,-0.02506,0.00156,0.49069,-0.02972,-0.01853,-1.57080,-1.57080,A,140821.60
0.55609,57.68778067,11.98134474,57.68778050,11.98134467,15:08:59.144541,0.00507,0.00000,0.00000,-0.06032,0.00000,-0.00746,0.00092,0.00105,-0.05801,-0.09821,0.99765,0.55065,0.00000,-0.42864,-0.42864,-0.02529,0.00056,0.49069,-0.02972,-0.01853,-1.57080,-1.57080,A,140821.60
0.56687,57.68778066,11.98134474,57.68778050,11.98134467,15:08:59.155329,0.00518,0.00000,0.00000,-0.06148,0.00000,-0.00777,-0.00290,0.00166,-0.06008,-0.10150,0.99729,0.56116,0.00000,-0.59996,-0.59996,-0.02551,-0.00040,0.49069,-0.02972,-0.01853,-1.57080,-1.57080,A,140821.60
0.57739,57.68778065,11.98134473,57.68778050,11.98134467,15:08:59.165859,0.00530,0.00000,0.00000,-0.06259,0.00000,-0.00425,-0.00030,-0.00079,-0.05807,-0.10175,0.99747,0.57173,0.00000,-0.74559,-0.74559,-0.02572,-0.00130,0.49069,-0.02972,-0.01853,-1.57080,-1.57080,A,140821.60
0.58757,57.68778065,11.98134473,57.68778050,11.98134467,15:08:59.176026,0.00508,0.00000,0.00000,-0.06372,0.00000,-0.00777,0.00092,-0.00048,-0.05899,-0.10114,0.99662,0.58191,0.00000,-0.86937,-0.86937,-0.02592,-0.00217,0.49069,-0.02972,-0.01853,-1.57080,-1.57080,A,140821.60
