Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,status,NMEA timestamp
0.04920,57.68800467,11.98126820,57.68800283,11.98126817,11:23:34.268579,0.04920,0.04914,0.00000,-0.00025,0.06263,0.02192,0.00640,-0.02397,-0.03355,0.90707,0.00001,0.00000,0.03142,0.03768,0.00198,0.20386,0.01488,0.01981,2.03857,A,112334.10
0.06648,57.68800632,11.98126823,57.68800283,11.98126817,11:23:34.285155,0.06648,0.00571,0.00000,0.00121,0.04155,-0.01871,-0.01452,0.06881,-0.04337,0.87663,0.06145,0.00000,0.06246,0.06887,0.00376,0.38733,0.01488,0.01981,2.03857,A,112334.10
0.07552,57.68800780,11.98126826,57.68800283,11.98126817,11:23:34.294183,0.07552,0.00435,0.00000,0.00098,0.03621,-0.03764,-0.01452,-0.06521,-0.01360,0.89560,0.07083,0.00000,0.09318,0.09959,0.00537,0.55245,0.01488,0.01981,2.03857,A,112334.10
0.08586,57.68800914,11.98126828,57.68800283,11.98126817,11:23:34.304532,0.08586,0.00445,0.00000,0.00077,0.04094,-0.03214,-0.01590,-0.17489,-0.01836,0.96526,0.08089,0.00000,0.12360,0.13001,0.00681,0.70107,0.01488,0.01981,2.03857,A,112334.10
0.09610,57.68801034,11.98126830,57.68800283,11.98126817,11:23:34.314758,0.09610,0.00429,0.00000,-0.00010,0.04552,-0.00313,-0.01513,-0.13505,-0.06850,1.00967,0.09143,0.00000,0.15372,0.16013,0.00811,0.83482,0.01488,0.01981,2.03857,A,112334.10
0.10661,57.68801142,11.98126832,57.68800283,11.98126817,11:23:34.325278,0.10661,0.00441,0.00000,-0.00108,0.04415,0.01947,-0.01254,-0.00708,-0.07674,1.03578,0.10165,0.00000,0.18353,0.18994,0.00928,0.95519,0.01488,0.01981,2.03857,A,112334.10
0.12981,57.68801241,11.98126834,57.68800300,11.98126817,11:23:34.348474,0.12981,0.01721,0.00000,-0.00168,0.04369,0.01856,-0.00414,0.06863,-0.05118,1.01736,0.11223,0.00000,0.21305,0.21946,0.01034,1.06538,0.12676,0.01981,2.05711,A,112334.20
0.14683,57.68801331,11.98126836,57.68800300,11.98126817,11:23:34.365508,0.14683,0.00785,0.00000,-0.00010,0.05163,-0.01962,0.01114,-0.12706,0.02995,0.99991,0.14011,0.00000,0.24227,0.24868,0.01128,1.16456,0.12676,0.01981,2.05711,A,112334.20
0.15366,57.68801411,11.98126837,57.68800300,11.98126817,11:23:34.372324,0.15366,0.00444,0.00000,-0.00042,0.05438,-0.01076,0.00991,-0.09309,-0.03129,0.99997,0.14870,0.00000,0.27120,0.27761,0.01214,1.25381,0.12676,0.01981,2.05711,A,112334.20
0.16393,57.68801483,11.98126838,57.68800300,11.98126817,11:23:34.382596,0.16393,0.00432,0.00000,-0.00123,0.05453,-0.00649,0.00701,-0.00836,-0.07100,0.99759,0.15925,0.00000,0.29984,0.30625,0.01290,1.33414,0.12676,0.01981,2.05711,A,112334.20
